trace_index,strength_rank,delta_j,branch_label,delta_j_strength_rank,lower_j,upper_j,jpair_label,selected_source,available_sources,fallback_used,render_mode,line_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,plotted_in_figure,labeled_on_figure
106,104,1,dJ_+1,36,35,36,J 35->36,exomol,exomol,no,exomol,891,4001,2.602064738726e-13,1.194444790853e-13,#f15d13,5,yes,no
107,110,-1,dJ_-1,36,36,35,J 36->35,exomol,exomol,no,exomol,892,4001,4.312577539792e-15,2.568775285340e-15,#ef5811,5,yes,no
108,108,0,dJ_+0,36,36,36,J 36->36,exomol,exomol,no,exomol,915,4001,2.299274795925e-14,2.271742898029e-14,#ec530f,5,yes,no
109,107,1,dJ_+1,37,36,37,J 36->37,exomol,exomol,no,exomol,915,4001,4.010905787973e-14,3.108079409756e-14,#ea4e0d,5,yes,no
110,112,-1,dJ_-1,37,37,36,J 37->36,exomol,exomol,no,exomol,939,4001,2.305255247729e-15,2.502534183073e-15,#e7490c,5,yes,no
111,111,0,dJ_+0,37,37,37,J 37->37,exomol,exomol,no,exomol,941,4001,4.019369290988e-15,4.378365748309e-15,#e4450a,5,yes,no
112,109,1,dJ_+1,38,37,38,J 37->38,exomol,exomol,no,exomol,946,4001,9.533754232712e-15,3.476647117651e-15,#e14109,5,yes,no
113,117,-1,dJ_-1,38,38,37,J 38->37,exomol,exomol,no,exomol,960,4001,1.795954180976e-16,1.757734152198e-16,#dd3d08,5,yes,no
114,114,0,dJ_+0,38,38,38,J 38->38,exomol,exomol,no,exomol,971,4001,9.123158851596e-16,7.925948937774e-16,#da3907,5,yes,no
115,113,1,dJ_+1,39,38,39,J 38->39,exomol,exomol,no,exomol,974,4001,1.460030235661e-15,7.999556382237e-16,#d63506,5,yes,no
116,118,-1,dJ_-1,39,39,38,J 39->38,exomol,exomol,no,exomol,990,4001,7.585647826983e-17,4.630900720345e-17,#d23105,5,yes,no
117,115,0,dJ_+0,39,39,39,J 39->39,exomol,exomol,no,exomol,998,4001,2.224364804339e-16,1.139403825626e-16,#d02f05,5,yes,no
118,116,1,dJ_+1,40,39,40,J 39->40,exomol,exomol,no,exomol,1027,4001,2.106357374894e-16,1.494708459390e-16,#cc2b04,5,yes,no
119,123,-1,dJ_-1,40,40,39,J 40->39,exomol,exomol,no,exomol,1018,4001,4.957019510159e-18,3.265911518364e-18,#c82803,5,yes,no
120,119,0,dJ_+0,40,40,40,J 40->40,exomol,exomol,no,exomol,1051,4001,6.645762096223e-17,2.393871926005e-17,#c32503,5,yes,no
