trace_index,strength_rank,delta_j,branch_label,delta_j_strength_rank,lower_j,upper_j,jpair_label,line_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,plotted_in_figure,labeled_on_figure
57,58,0,dJ_+0,19,19,19,J 19->19,188,100001,9.190055658397e-03,1.058407753145e-03,#f36315,1,yes,no
58,56,1,dJ_+1,20,19,20,J 19->20,190,100001,1.274350773806e-02,1.541501597818e-03,#ef5811,1,yes,no
59,62,-1,dJ_-1,20,20,19,J 20->19,195,100001,3.517714843016e-03,1.513117212069e-04,#ea4e0d,1,yes,no
60,59,0,dJ_+0,20,20,20,J 20->20,202,100001,8.573566210814e-03,2.812109248873e-04,#e5470b,1,yes,no
61,57,1,dJ_+1,21,20,21,J 20->21,212,100001,9.429506164274e-03,8.822168769630e-04,#df3f08,1,yes,no
62,63,-1,dJ_-1,21,21,20,J 21->20,197,100001,-0.000000000000e+00,0.000000000000e+00,#da3907,1,yes,no
63,64,0,dJ_+0,21,21,21,J 21->21,209,100001,-0.000000000000e+00,0.000000000000e+00,#d23105,1,yes,no
64,60,1,dJ_+1,22,21,22,J 21->22,226,100001,5.465514634137e-03,2.502993053000e-04,#ca2a04,1,yes,no
65,65,-1,dJ_-1,22,22,21,J 22->21,198,100001,-0.000000000000e+00,0.000000000000e+00,#c32503,1,yes,no
66,66,0,dJ_+0,22,22,22,J 22->22,228,100001,-0.000000000000e+00,0.000000000000e+00,#b91e02,1,yes,no
67,67,1,dJ_+1,23,22,23,J 22->23,242,100001,-0.000000000000e+00,0.000000000000e+00,#b21a01,1,yes,no
68,68,-1,dJ_-1,23,23,22,J 23->22,192,100001,-0.000000000000e+00,0.000000000000e+00,#a71401,1,yes,no
69,69,0,dJ_+0,23,23,23,J 23->23,234,100001,-0.000000000000e+00,0.000000000000e+00,#9b0f01,1,yes,no
70,70,1,dJ_+1,24,23,24,J 23->24,7,100001,-0.000000000000e+00,0.000000000000e+00,#920b01,1,yes,no
71,71,-1,dJ_-1,24,24,23,J 24->23,170,100001,-0.000000000000e+00,0.000000000000e+00,#850702,1,yes,no
72,72,1,dJ_+1,25,24,25,J 24->25,1,100001,-0.000000000000e+00,0.000000000000e+00,#7a0403,1,yes,no
