band_label,mode_pair,mode_pair_label,category,category_label,line_count,csv_path,html_path
0 -> 1,nu1 0->1,nu1 0->1,fundamental_band,nu1 0->1 | fundamental_band,91,co_nu1_progressions\CO_nu1_0_to_1_0_to_1_abs_2500_3500_T600K_P3Torr_L100cm.csv,co_nu1_progressions\CO_nu1_0_to_1_0_to_1_abs_2500_3500_T600K_P3Torr_L100cm.html
0 -> 2,nu1 0->2,nu1 0->2,first_overtone_band,nu1 0->2 | first_overtone_band,106,co_nu1_progressions\CO_nu1_0_to_2_0_to_2_abs_2500_3500_T600K_P3Torr_L100cm.csv,co_nu1_progressions\CO_nu1_0_to_2_0_to_2_abs_2500_3500_T600K_P3Torr_L100cm.html
1 -> 2,nu1 1->2,nu1 1->2,hot_fundamental_band,nu1 1->2 | hot_fundamental_band,76,co_nu1_progressions\CO_nu1_1_to_2_1_to_2_abs_2500_3500_T600K_P3Torr_L100cm.csv,co_nu1_progressions\CO_nu1_1_to_2_1_to_2_abs_2500_3500_T600K_P3Torr_L100cm.html
1 -> 3,nu1 1->3,nu1 1->3,hot_first_overtone_band,nu1 1->3 | hot_first_overtone_band,86,co_nu1_progressions\CO_nu1_1_to_3_1_to_3_abs_2500_3500_T600K_P3Torr_L100cm.csv,co_nu1_progressions\CO_nu1_1_to_3_1_to_3_abs_2500_3500_T600K_P3Torr_L100cm.html
2 -> 3,nu1 2->3,nu1 2->3,hot_fundamental_band,nu1 2->3 | hot_fundamental_band,57,co_nu1_progressions\CO_nu1_2_to_3_2_to_3_abs_2500_3500_T600K_P3Torr_L100cm.csv,co_nu1_progressions\CO_nu1_2_to_3_2_to_3_abs_2500_3500_T600K_P3Torr_L100cm.html
2 -> 4,nu1 2->4,nu1 2->4,hot_first_overtone_band,nu1 2->4 | hot_first_overtone_band,55,co_nu1_progressions\CO_nu1_2_to_4_2_to_4_abs_2500_3500_T600K_P3Torr_L100cm.csv,co_nu1_progressions\CO_nu1_2_to_4_2_to_4_abs_2500_3500_T600K_P3Torr_L100cm.html
