band_label,mode_pair,mode_pair_label,category,category_label,line_count,csv_path,html_path
0 0 0 0 1A1 -> 0 0 1 0 1F2,nu3 0->1,nu3 0->1,fundamental_band,nu3 0->1 | fundamental_band,6489,ch4_nu3_progressions\CH4_nu3_0_to_1_0_0_0_0_1A1_to_0_0_1_0_1F2_abs_2500_3500_T600K_P3Torr_L100cm.csv,ch4_nu3_progressions\CH4_nu3_0_to_1_0_0_0_0_1A1_to_0_0_1_0_1F2_abs_2500_3500_T600K_P3Torr_L100cm.html
0 0 0 0 1A1 -> 0 0 2 0  E,nu3 0->2,nu3 0->2,first_overtone_band,nu3 0->2 | first_overtone_band,23,ch4_nu3_progressions\CH4_nu3_0_to_2_0_0_0_0_1A1_to_0_0_2_0_E_abs_2500_3500_T600K_P3Torr_L100cm.csv,ch4_nu3_progressions\CH4_nu3_0_to_2_0_0_0_0_1A1_to_0_0_2_0_E_abs_2500_3500_T600K_P3Torr_L100cm.html
0 0 0 0 1A1 -> 0 0 2 0  F2,nu3 0->2,nu3 0->2,first_overtone_band,nu3 0->2 | first_overtone_band,29,ch4_nu3_progressions\CH4_nu3_0_to_2_0_0_0_0_1A1_to_0_0_2_0_F2_abs_2500_3500_T600K_P3Torr_L100cm.csv,ch4_nu3_progressions\CH4_nu3_0_to_2_0_0_0_0_1A1_to_0_0_2_0_F2_abs_2500_3500_T600K_P3Torr_L100cm.html
0 0 0 1 1F2 -> 0 0 1 1 1A1,nu3 0->1,nu3 0->1,fundamental_band,nu3 0->1 | fundamental_band,39,ch4_nu3_progressions\CH4_nu3_0_to_1_0_0_0_1_1F2_to_0_0_1_1_1A1_abs_2500_3500_T600K_P3Torr_L100cm.csv,ch4_nu3_progressions\CH4_nu3_0_to_1_0_0_0_1_1F2_to_0_0_1_1_1A1_abs_2500_3500_T600K_P3Torr_L100cm.html
0 0 0 1 1F2 -> 0 0 1 1 1E,nu3 0->1,nu3 0->1,fundamental_band,nu3 0->1 | fundamental_band,329,ch4_nu3_progressions\CH4_nu3_0_to_1_0_0_0_1_1F2_to_0_0_1_1_1E_abs_2500_3500_T600K_P3Torr_L100cm.csv,ch4_nu3_progressions\CH4_nu3_0_to_1_0_0_0_1_1F2_to_0_0_1_1_1E_abs_2500_3500_T600K_P3Torr_L100cm.html
0 0 0 1 1F2 -> 0 0 1 1 1F1,nu3 0->1,nu3 0->1,fundamental_band,nu3 0->1 | fundamental_band,1523,ch4_nu3_progressions\CH4_nu3_0_to_1_0_0_0_1_1F2_to_0_0_1_1_1F1_abs_2500_3500_T600K_P3Torr_L100cm.csv,ch4_nu3_progressions\CH4_nu3_0_to_1_0_0_0_1_1F2_to_0_0_1_1_1F1_abs_2500_3500_T600K_P3Torr_L100cm.html
0 0 0 1 1F2 -> 0 0 1 1 1F2,nu3 0->1,nu3 0->1,fundamental_band,nu3 0->1 | fundamental_band,1171,ch4_nu3_progressions\CH4_nu3_0_to_1_0_0_0_1_1F2_to_0_0_1_1_1F2_abs_2500_3500_T600K_P3Torr_L100cm.csv,ch4_nu3_progressions\CH4_nu3_0_to_1_0_0_0_1_1F2_to_0_0_1_1_1F2_abs_2500_3500_T600K_P3Torr_L100cm.html
0 1 0 0 1E -> 0 1 1 0 1F1,nu3 0->1,nu3 0->1,fundamental_band,nu3 0->1 | fundamental_band,1082,ch4_nu3_progressions\CH4_nu3_0_to_1_0_1_0_0_1E_to_0_1_1_0_1F1_abs_2500_3500_T600K_P3Torr_L100cm.csv,ch4_nu3_progressions\CH4_nu3_0_to_1_0_1_0_0_1E_to_0_1_1_0_1F1_abs_2500_3500_T600K_P3Torr_L100cm.html
0 1 0 0 1E -> 0 1 1 0 1F2,nu3 0->1,nu3 0->1,fundamental_band,nu3 0->1 | fundamental_band,979,ch4_nu3_progressions\CH4_nu3_0_to_1_0_1_0_0_1E_to_0_1_1_0_1F2_abs_2500_3500_T600K_P3Torr_L100cm.csv,ch4_nu3_progressions\CH4_nu3_0_to_1_0_1_0_0_1E_to_0_1_1_0_1F2_abs_2500_3500_T600K_P3Torr_L100cm.html
