trace_index,strength_rank,delta_j,branch_label,delta_j_strength_rank,lower_j,upper_j,jpair_label,selected_source,available_sources,fallback_used,render_mode,line_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,plotted_in_figure,labeled_on_figure
32,40,-1,dJ_-1,11,11,10,J 11->10,exomol,exomol,yes,exomol,1550,401,4.878179708163e-24,8.078805727995e-24,#fd8a26,5,yes,no
33,30,0,dJ_+0,11,11,11,J 11->11,exomol,exomol,yes,exomol,11287,401,3.610526024512e-22,2.142788970034e-21,#f9751d,5,yes,no
34,20,1,dJ_+1,10,11,12,J 11->12,exomol,exomol,yes,exomol,16326,401,1.797105344659e-21,1.022725201765e-20,#f36315,5,yes,no
35,41,-1,dJ_-1,12,12,11,J 12->11,exomol,exomol,yes,exomol,1317,401,2.771195582936e-24,2.458727008728e-24,#ec530f,5,yes,no
36,33,0,dJ_+0,13,12,12,J 12->12,exomol,exomol,yes,exomol,14880,401,1.733563036369e-22,1.041874343113e-21,#e4450a,5,yes,no
37,27,1,dJ_+1,13,12,13,J 12->13,exomol,exomol,yes,exomol,23308,401,5.987005936427e-22,6.712182163644e-21,#da3907,5,yes,no
38,42,-1,dJ_-1,13,13,12,J 13->12,exomol,exomol,yes,exomol,1754,401,8.403142492290e-25,1.596324015084e-24,#ce2d04,5,yes,no
39,32,0,dJ_+0,12,13,13,J 13->13,exomol,exomol,yes,exomol,25026,401,1.901712039376e-22,1.126581271070e-21,#c12302,5,yes,no
40,28,1,dJ_+1,14,13,14,J 13->14,exomol,exomol,yes,exomol,34340,401,4.711572906131e-22,5.372875888090e-21,#b21a01,5,yes,no
41,43,-1,dJ_-1,14,14,13,J 14->13,exomol,exomol,yes,exomol,2201,401,2.191338373790e-25,8.702712887089e-25,#a11201,5,yes,no
42,38,0,dJ_+0,14,14,14,J 14->14,exomol,exomol,yes,exomol,21701,401,2.542027694664e-23,2.663039754098e-22,#8e0a01,5,yes,no
43,31,1,dJ_+1,15,14,15,J 14->15,exomol,exomol,yes,exomol,23815,401,1.962487355893e-22,1.817135692606e-21,#7a0403,5,yes,no
