trace_index,strength_rank,delta_j,branch_label,delta_j_strength_rank,lower_j,upper_j,jpair_label,selected_source,available_sources,fallback_used,render_mode,line_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,plotted_in_figure,labeled_on_figure
1,24,1,dJ_+1,12,0,1,J 0->1,exomol,exomol,yes,exomol,9,401,7.347397478004e-22,2.615931150631e-22,#30123b,3,yes,no
2,39,-1,dJ_-1,10,1,0,J 1->0,exomol,exomol,yes,exomol,10,401,1.009994587905e-23,4.821542923238e-24,#372466,4,yes,no
3,18,0,dJ_+0,8,1,1,J 1->1,exomol,exomol,yes,exomol,22,401,2.488192470565e-21,8.671697245456e-22,#3d358b,4,yes,yes
4,3,1,dJ_+1,3,1,2,J 1->2,exomol,exomol,yes,exomol,51,401,3.316775638813e-20,8.994056569955e-21,#4146ac,5,yes,yes
5,8,-1,dJ_-1,1,2,1,J 2->1,exomol,exomol,yes,exomol,35,401,7.467289587304e-21,1.903018591511e-21,#4456c7,5,yes,yes
6,10,0,dJ_+0,5,2,2,J 2->2,exomol,exomol,yes,exomol,67,401,6.484230183454e-21,2.563524672586e-21,#4666dd,5,yes,yes
7,5,1,dJ_+1,4,2,3,J 2->3,exomol,exomol,yes,exomol,131,401,1.130706551030e-20,7.294182473622e-21,#4776ee,5,yes,yes
8,25,-1,dJ_-1,3,3,2,J 3->2,exomol,exomol,yes,exomol,96,401,7.237342405536e-22,2.080612581645e-22,#4685fa,5,yes,yes
9,4,0,dJ_+0,1,3,3,J 3->3,exomol,exomol,yes,exomol,163,401,1.204810358767e-20,5.364970875806e-21,#4294ff,5,yes,yes
10,2,1,dJ_+1,2,3,4,J 3->4,exomol,exomol,yes,exomol,239,401,4.937523820782e-20,1.549192876704e-20,#3aa3fc,5,yes,yes
11,15,-1,dJ_-1,2,4,3,J 4->3,exomol,exomol,yes,exomol,144,401,3.463547095399e-21,2.940156512051e-21,#2fb2f4,5,yes,yes
12,11,0,dJ_+0,6,4,4,J 4->4,exomol,exomol,yes,exomol,259,401,5.981999011074e-21,3.035401067230e-21,#23c3e4,5,yes,yes
13,1,1,dJ_+1,1,4,5,J 4->5,exomol,exomol,yes,exomol,506,401,6.346067286394e-20,2.164164285505e-20,#1bd0d5,5,yes,yes
14,26,-1,dJ_-1,4,5,4,J 5->4,exomol,exomol,yes,exomol,325,401,6.057865221090e-22,6.499102501292e-22,#18dbc5,5,yes,yes
15,6,0,dJ_+0,2,5,5,J 5->5,exomol,exomol,yes,exomol,879,401,1.055659106372e-20,7.790500303480e-21,#1ae4b6,5,yes,yes
16,14,1,dJ_+1,7,5,6,J 5->6,exomol,exomol,yes,exomol,1249,401,4.920635483334e-21,7.791419237615e-21,#25eca7,5,yes,yes
17,29,-1,dJ_-1,5,6,5,J 6->5,exomol,exomol,yes,exomol,414,401,4.692677109465e-22,2.837690038085e-22,#35f394,5,yes,yes
18,7,0,dJ_+0,3,6,6,J 6->6,exomol,exomol,yes,exomol,1212,401,8.752729607649e-21,4.153425282984e-21,#4af880,5,yes,yes
19,12,1,dJ_+1,5,6,7,J 6->7,exomol,exomol,yes,exomol,1903,401,5.631282354527e-21,1.413874620639e-20,#61fc6c,5,yes,yes
20,34,-1,dJ_-1,6,7,6,J 7->6,exomol,exomol,yes,exomol,470,401,1.474994490837e-22,8.429266365770e-23,#79fe59,5,yes,yes
21,9,0,dJ_+0,4,7,7,J 7->7,exomol,exomol,yes,exomol,1769,401,7.053803900492e-21,7.304851685636e-21,#8fff49,5,yes,yes
22,17,1,dJ_+1,8,7,8,J 7->8,exomol,exomol,yes,exomol,2533,401,2.488552735128e-21,9.887875685472e-21,#a4fc3c,5,yes,yes
23,36,-1,dJ_-1,8,8,7,J 8->7,exomol,exomol,yes,exomol,760,401,5.498263097507e-23,7.498627098770e-23,#b4f836,5,yes,yes
24,21,0,dJ_+0,9,8,8,J 8->8,exomol,exomol,yes,exomol,3016,401,1.751379368858e-21,4.017400954567e-21,#c3f134,5,yes,no
25,13,1,dJ_+1,6,8,9,J 8->9,exomol,exomol,yes,exomol,4157,401,5.362658249161e-21,1.401454123496e-20,#d2e935,5,yes,yes
26,37,-1,dJ_-1,9,9,8,J 9->8,exomol,exomol,yes,exomol,1409,401,2.634108138485e-23,6.051889052571e-23,#dfdf37,5,yes,no
27,23,0,dJ_+0,10,9,9,J 9->9,exomol,exomol,yes,exomol,4731,401,1.622194796171e-21,3.177781113492e-21,#ebd339,5,yes,no
28,19,1,dJ_+1,9,9,10,J 9->10,exomol,exomol,yes,exomol,6908,401,2.319290892638e-21,1.243320613522e-20,#f4c73a,5,yes,no
29,35,-1,dJ_-1,7,10,9,J 10->9,exomol,exomol,yes,exomol,1556,401,6.907074637370e-23,5.702437206574e-23,#faba39,5,yes,yes
30,16,0,dJ_+0,7,10,10,J 10->10,exomol,exomol,yes,exomol,6090,401,2.812380291678e-21,3.094803157421e-21,#fdac34,5,yes,yes
31,22,1,dJ_+1,11,10,11,J 10->11,exomol,exomol,yes,exomol,10197,401,1.628719843754e-21,1.084891387088e-20,#fe9b2d,5,yes,no
