trace_index,strength_rank,delta_j,branch_label,delta_j_strength_rank,lower_j,upper_j,jpair_label,selected_source,available_sources,fallback_used,render_mode,line_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,plotted_in_figure,labeled_on_figure
1,3,1,dJ_+1,2,0,1,J 0->1,hitran,"hitran, exomol",no,hitran,1,401,6.245119454401e-01,1.561279863600e-01,#30123b,1,yes,yes
2,13,-1,dJ_-1,1,1,0,J 1->0,hitran,"hitran, exomol",no,hitran,1,401,2.061107554011e-03,5.152768885026e-04,#351e58,1,yes,yes
3,23,0,dJ_+0,14,1,1,J 1->1,hitran,"hitran, exomol",no,hitran,1,401,6.087601590581e-07,1.793894264327e-07,#3a2d79,1,yes,no
4,2,1,dJ_+1,1,1,2,J 1->2,hitran,"hitran, exomol",no,hitran,2,401,6.554034161783e-01,1.638508540446e-01,#3f3b97,1,yes,yes
5,22,0,dJ_+0,13,2,2,J 2->2,hitran,"hitran, exomol",no,hitran,3,401,6.564690028058e-07,3.249728705937e-07,#4249b1,1,yes,no
6,20,1,dJ_+1,8,2,3,J 2->3,hitran,"hitran, exomol",no,hitran,5,401,1.571895708901e-06,5.163763307238e-07,#4456c7,1,yes,yes
7,6,0,dJ_+0,4,3,3,J 3->3,hitran,"hitran, exomol",no,hitran,6,401,1.032914177704e-01,2.582614135615e-02,#4664da,1,yes,yes
8,7,1,dJ_+1,3,3,4,J 3->4,hitran,"hitran, exomol",no,hitran,8,401,2.714691251456e-02,6.786861218733e-03,#4771e9,1,yes,yes
9,18,0,dJ_+0,11,4,4,J 4->4,hitran,"hitran, exomol",no,hitran,10,401,8.868334186689e-06,3.217798452696e-06,#467df4,1,yes,no
10,9,1,dJ_+1,4,4,5,J 4->5,hitran,"hitran, exomol",no,hitran,13,401,2.227618008029e-02,5.569224749094e-03,#458afc,1,yes,yes
11,12,0,dJ_+0,8,5,5,J 5->5,hitran,"hitran, exomol",no,hitran,15,401,2.117025933282e-03,5.592783451445e-04,#4196ff,1,yes,yes
12,17,1,dJ_+1,6,5,6,J 5->6,hitran,"hitran, exomol",no,hitran,18,401,1.437425603744e-05,4.706019998558e-06,#3aa3fc,1,yes,yes
13,11,0,dJ_+0,7,6,6,J 6->6,hitran,"hitran, exomol",no,hitran,21,401,1.436975764333e-02,3.597705913527e-03,#31aff5,1,yes,yes
14,16,1,dJ_+1,5,6,7,J 6->7,hitran,"hitran, exomol",no,hitran,25,401,1.455036102293e-05,5.056003924229e-06,#28bceb,1,yes,yes
15,1,0,dJ_+0,1,7,7,J 7->7,hitran,"hitran, exomol",no,hitran,28,401,7.243486266197e-01,1.810999640281e-01,#22c5e2,1,yes,yes
