trace_index,strength_rank,delta_j,branch_label,delta_j_strength_rank,lower_j,upper_j,jpair_label,line_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,plotted_in_figure,labeled_on_figure
1,13,1,dJ_+1,8,0,1,J 0->1,2,100001,-0.000000000000e+00,0.000000000000e+00,#30123b,2,yes,yes
2,14,-1,dJ_-1,1,1,0,J 1->0,2,100001,-0.000000000000e+00,0.000000000000e+00,#36215f,2,yes,yes
3,15,0,dJ_+0,6,1,1,J 1->1,4,100001,-0.000000000000e+00,0.000000000000e+00,#3b2f80,2,yes,yes
4,16,1,dJ_+1,9,1,2,J 1->2,8,100001,-0.000000000000e+00,0.000000000000e+00,#4040a2,2,yes,no
5,17,-1,dJ_-1,2,2,1,J 2->1,8,100001,-0.000000000000e+00,0.000000000000e+00,#434eba,2,yes,yes
6,18,0,dJ_+0,7,2,2,J 2->2,12,100001,-0.000000000000e+00,0.000000000000e+00,#455ccf,2,yes,yes
7,19,1,dJ_+1,10,2,3,J 2->3,18,100001,-0.000000000000e+00,0.000000000000e+00,#466be3,2,yes,yes
8,20,-1,dJ_-1,3,3,2,J 3->2,15,100001,-0.000000000000e+00,0.000000000000e+00,#4778f0,2,yes,yes
9,21,0,dJ_+0,8,3,3,J 3->3,23,100001,-0.000000000000e+00,0.000000000000e+00,#4685fa,2,yes,yes
10,22,1,dJ_+1,11,3,4,J 3->4,28,100001,-0.000000000000e+00,0.000000000000e+00,#4294ff,2,yes,yes
11,23,-1,dJ_-1,4,4,3,J 4->3,24,100001,-0.000000000000e+00,0.000000000000e+00,#3ba0fd,2,yes,yes
12,12,0,dJ_+0,5,4,4,J 4->4,38,100001,2.769808570383e-03,4.885016072243e-05,#33adf7,2,yes,yes
13,5,1,dJ_+1,5,4,5,J 4->5,44,100001,4.319583539989e-03,6.206955247830e-05,#28bceb,2,yes,yes
14,24,-1,dJ_-1,5,5,4,J 5->4,32,100001,-0.000000000000e+00,0.000000000000e+00,#20c7df,2,yes,yes
15,9,0,dJ_+0,3,5,5,J 5->5,53,100001,3.506810617672e-03,5.119516641047e-05,#1ad2d2,2,yes,yes
16,3,1,dJ_+1,3,5,6,J 5->6,51,100001,4.776662097464e-03,1.175495230665e-04,#18ddc2,2,yes,yes
17,25,-1,dJ_-1,6,6,5,J 6->5,46,100001,-0.000000000000e+00,0.000000000000e+00,#1ae4b6,2,yes,yes
18,11,0,dJ_+0,4,6,6,J 6->6,71,100001,3.157349332458e-03,1.028994514320e-04,#22ebaa,2,yes,yes
19,2,1,dJ_+1,2,6,7,J 6->7,56,100001,5.110332349722e-03,7.401813209915e-05,#32f298,2,yes,yes
20,26,-1,dJ_-1,7,7,6,J 7->6,50,100001,-0.000000000000e+00,0.000000000000e+00,#43f787,2,yes,yes
