nu,[0]CH4-HITRAN:X=0.0001-T=300K-P=0.13157894736842105atm-L=100cm
2500.65,1.182257639507413e-7
2500.66,7.251185370813333e-8
2500.67,6.205280604258273e-8
2500.68,6.425525607080898e-8
2500.69,7.232102156643632e-8
2500.7,8.76630237966233e-8
2500.71,1.149610053285641e-7
2500.72,1.6807038041478777e-7
2500.73,2.937016178576168e-7
2500.74,6.901831052565292e-7
2500.75,0.0000015824794709178444
2500.76,0.000003826407511053281
2500.77,0.0000018993997512277178
2500.78,5.963761343397336e-7
2500.79,2.798972052823174e-7
2500.8,1.7038984664892716e-7
2500.81,1.2048464585764653e-7
2500.82,9.608042912109796e-8
2500.83,8.721221514454367e-8
2500.84,9.439249971952216e-8
2500.85,1.4180772151704176e-7
2500.86,4.04512802801476e-7
2500.87,7.420667951191947e-7
2500.88,3.3796830272299983e-7
2500.89,1.332656445177348e-7
2500.9,7.156322513071772e-8
2500.91,5.099302177298893e-8
2500.92,4.1453249803742216e-8
2500.93,3.614457853946985e-8
2500.94,3.290174831197083e-8
2500.95,3.091777093289554e-8
2500.96,2.9454739748051633e-8
2500.97,2.8554330086195553e-8
2500.98,2.8270600260715557e-8
2500.99,2.9147906624589245e-8
2501,3.005917471257617e-8
2501.01,2.95617124041661e-8
2501.02,3.068295065132669e-8
2501.03,3.2600721765081155e-8
2501.04,3.590965855864245e-8
2501.05,4.1297343398389475e-8
2501.06,5.0451608386937046e-8
2501.07,6.748685171937076e-8
2501.08,1.0448787648098773e-7
2501.09,2.1078434920774945e-7
2501.1,6.891152121899379e-7
2501.11,0.0000014762374433525912
2501.12,7.336469131099456e-7
2501.13,5.125512124875892e-7
2501.14,1.7490316792325047e-7
2501.15,8.830038568267991e-8
2501.16,5.959046689345425e-8
2501.17,4.640353598012709e-8
2501.18,3.967467322330272e-8
2501.19,3.790060359656583e-8
2501.2,4.991726179312736e-8
2501.21,4.2251627978531904e-8
2501.22,3.070606982527881e-8
