trace_index,strength_rank,delta_j,branch_label,delta_j_strength_rank,lower_j,upper_j,jpair_label,line_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,plotted_in_figure,labeled_on_figure
21,19,0,dJ_+0,6,7,7,J 7->7,5937,4001,1.022289224248e-20,2.620400854442e-20,#8fff49,5,yes,yes
22,23,1,dJ_+1,8,7,8,J 7->8,8148,4001,4.816021665555e-21,2.522616542626e-20,#a4fc3c,5,yes,yes
23,10,-1,dJ_-1,4,8,7,J 8->7,8160,4001,1.592288079751e-20,2.425220487563e-20,#b4f836,5,yes,yes
24,9,0,dJ_+0,2,8,8,J 8->8,11025,4001,1.826867718408e-20,3.599798005186e-20,#c3f134,5,yes,yes
25,22,1,dJ_+1,7,8,9,J 8->9,12898,4001,5.362658249161e-21,2.864001393149e-20,#d2e935,5,yes,yes
26,20,-1,dJ_-1,8,9,8,J 9->8,15321,4001,8.992970704586e-21,2.116006628933e-20,#dfdf37,5,yes,yes
27,24,0,dJ_+0,8,9,9,J 9->9,17995,4001,3.547702065324e-21,2.272037693916e-20,#ebd339,5,yes,yes
28,29,1,dJ_+1,9,9,10,J 9->10,20577,4001,2.319290892638e-21,2.115205314130e-20,#f4c73a,5,yes,no
29,30,-1,dJ_-1,10,10,9,J 10->9,18792,4001,2.184820273844e-21,1.137027734771e-20,#faba39,5,yes,no
30,27,0,dJ_+0,10,10,10,J 10->10,21564,4001,2.812380291678e-21,1.401365447092e-20,#fdac34,5,yes,no
31,32,1,dJ_+1,11,10,11,J 10->11,27267,4001,1.628719843754e-21,1.790682473777e-20,#fe9b2d,5,yes,no
32,34,-1,dJ_-1,11,11,10,J 11->10,28521,4001,9.350801567408e-22,8.295615479863e-21,#fd8a26,5,yes,no
33,26,0,dJ_+0,9,11,11,J 11->11,36017,4001,2.999112975793e-21,1.539479310923e-20,#f9751d,5,yes,no
34,31,1,dJ_+1,10,11,12,J 11->12,44066,4001,1.797105344659e-21,1.668869565099e-20,#f36315,5,yes,no
35,25,-1,dJ_-1,9,12,11,J 12->11,37960,4001,3.415160044462e-21,6.774821897030e-21,#ec530f,5,yes,no
36,38,0,dJ_+0,13,12,12,J 12->12,46304,4001,5.448323181497e-22,8.018510448662e-21,#e4450a,5,yes,no
37,35,1,dJ_+1,12,12,13,J 12->13,61886,4001,7.418436409100e-22,1.115137852302e-20,#da3907,5,yes,no
38,37,-1,dJ_-1,12,13,12,J 13->12,60387,4001,6.594442810650e-22,4.579351495778e-21,#ce2d04,5,yes,no
39,33,0,dJ_+0,12,13,13,J 13->13,80428,4001,1.010844003804e-21,7.629106431857e-21,#c12302,5,yes,no
40,40,1,dJ_+1,14,13,14,J 13->14,92945,4001,4.711572906131e-22,8.790668084874e-21,#b21a01,5,yes,no
41,39,-1,dJ_-1,13,14,13,J 14->13,50264,4001,5.276626534935e-22,1.805930852714e-21,#a11201,5,yes,no
42,41,0,dJ_+0,14,14,14,J 14->14,57872,4001,3.016583609063e-22,2.444326614059e-21,#8e0a01,5,yes,no
43,42,1,dJ_+1,15,14,15,J 14->15,70530,4001,2.480107302771e-22,3.200148756205e-21,#7a0403,5,yes,no
