trace_index,strength_rank,delta_j,branch_label,delta_j_strength_rank,lower_j,upper_j,jpair_label,line_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,plotted_in_figure,labeled_on_figure
1,63,1,dJ_+1,22,0,1,J 0->1,3,4001,1.218710778980e-11,6.717171018729e-12,#30123b,1,yes,no
2,36,-1,dJ_-1,12,1,0,J 1->0,3,4001,4.872584472535e-09,1.225534738012e-09,#33184a,3,yes,no
3,59,0,dJ_+0,20,1,1,J 1->1,6,4001,2.739767430470e-11,1.992831636660e-11,#351e58,3,yes,no
4,22,1,dJ_+1,8,1,2,J 1->2,12,4001,3.053460839423e-08,7.703943434448e-09,#38276d,4,yes,yes
5,18,-1,dJ_-1,6,2,1,J 2->1,12,4001,3.671622497765e-08,2.207882388850e-08,#3a2d79,4,yes,yes
6,35,0,dJ_+0,12,2,2,J 2->2,18,4001,4.926430908304e-09,1.312261650532e-09,#3c3286,4,yes,no
7,25,1,dJ_+1,10,2,3,J 2->3,27,4001,2.354561821722e-08,1.097663670628e-08,#3f3b97,4,yes,yes
8,16,-1,dJ_-1,4,3,2,J 3->2,27,4001,4.109279476288e-08,1.222409844108e-08,#4040a2,5,yes,yes
9,12,0,dJ_+0,6,3,3,J 3->3,36,4001,6.689513053524e-08,1.894251927225e-08,#4146ac,5,yes,yes
10,9,1,dJ_+1,4,3,4,J 3->4,48,4001,7.615055063360e-08,2.102122443613e-08,#434eba,5,yes,yes
11,44,-1,dJ_-1,15,4,3,J 4->3,48,4001,1.683993190822e-09,8.989624344645e-10,#4454c3,5,yes,no
12,1,0,dJ_+0,1,4,4,J 4->4,60,4001,3.234084683257e-07,1.002978654431e-07,#455ccf,5,yes,yes
13,19,1,dJ_+1,6,4,5,J 4->5,75,4001,3.456556338811e-08,1.755492469282e-08,#4661d6,5,yes,yes
14,6,-1,dJ_-1,1,5,4,J 5->4,75,4001,1.467284247328e-07,4.159268720415e-08,#4666dd,5,yes,yes
15,5,0,dJ_+0,2,5,5,J 5->5,90,4001,1.794052417555e-07,9.066182351950e-08,#476ee6,5,yes,yes
16,3,1,dJ_+1,2,5,6,J 5->6,108,4001,2.495610786866e-07,9.387929352416e-08,#4773eb,5,yes,yes
17,21,-1,dJ_-1,7,6,5,J 6->5,108,4001,3.057151033795e-08,1.794394140307e-08,#4778f0,5,yes,yes
18,11,0,dJ_+0,5,6,6,J 6->6,126,4001,7.166385818014e-08,3.805781831146e-08,#4680f6,5,yes,yes
19,2,1,dJ_+1,1,6,7,J 6->7,152,4001,3.072118967822e-07,1.885041746735e-07,#4685fa,5,yes,yes
20,17,-1,dJ_-1,5,7,6,J 7->6,147,4001,3.695260346161e-08,3.703491679596e-08,#458cfd,5,yes,yes
21,15,0,dJ_+0,7,7,7,J 7->7,173,4001,4.500225704720e-08,2.120570748212e-08,#4391fe,5,yes,yes
22,4,1,dJ_+1,3,7,8,J 7->8,209,4001,1.853631679207e-07,7.433227706644e-08,#4196ff,5,yes,yes
23,7,-1,dJ_-1,2,8,7,J 8->7,199,4001,1.131779610343e-07,2.982263129076e-08,#3d9efe,5,yes,yes
24,8,0,dJ_+0,3,8,8,J 8->8,235,4001,9.056758790276e-08,3.674785240350e-08,#3aa3fc,5,yes,yes
25,13,1,dJ_+1,5,8,9,J 8->9,283,4001,6.676045306837e-08,5.410428621061e-08,#37a8fa,5,yes,yes
26,14,-1,dJ_-1,3,9,8,J 9->8,265,4001,5.588833832214e-08,3.130214052958e-08,#31aff5,5,yes,yes
27,10,0,dJ_+0,4,9,9,J 9->9,313,4001,7.566064183710e-08,3.144516666783e-08,#2eb4f2,5,yes,yes
28,23,1,dJ_+1,9,9,10,J 9->10,352,4001,2.757772052403e-08,2.150419109325e-08,#28bceb,5,yes,no
29,24,-1,dJ_-1,8,10,9,J 10->9,347,4001,2.680356019289e-08,2.378390101315e-08,#25c0e7,5,yes,yes
30,26,0,dJ_+0,8,10,10,J 10->10,388,4001,2.044089476752e-08,1.547562632044e-08,#22c5e2,5,yes,yes
31,27,1,dJ_+1,11,10,11,J 10->11,452,4001,1.834015343738e-08,2.016455559621e-08,#1ecbda,5,yes,no
32,34,-1,dJ_-1,11,11,10,J 11->10,427,4001,7.383480277850e-09,5.046063761364e-09,#1bd0d5,5,yes,no
33,30,0,dJ_+0,10,11,11,J 11->11,496,4001,1.106373685060e-08,8.078212744116e-09,#1ad4d0,5,yes,no
34,20,1,dJ_+1,7,11,12,J 11->12,566,4001,3.196370743472e-08,2.575522624230e-08,#18d9c8,5,yes,yes
35,33,-1,dJ_-1,10,12,11,J 12->11,536,4001,7.519875780189e-09,6.237369922846e-09,#18ddc2,5,yes,no
36,28,0,dJ_+0,9,12,12,J 12->12,616,4001,1.426220995906e-08,1.323139830452e-08,#18e0bd,5,yes,no
37,29,1,dJ_+1,12,12,13,J 12->13,580,4001,1.239037036159e-08,1.261377274488e-08,#1ae4b6,5,yes,no
38,31,-1,dJ_-1,9,13,12,J 13->12,664,4001,8.558386512911e-09,3.158393778577e-09,#1de7b2,5,yes,no
39,32,0,dJ_+0,11,13,13,J 13->13,623,4001,8.439311479874e-09,8.910897353731e-09,#22ebaa,5,yes,no
40,38,1,dJ_+1,13,13,14,J 13->14,821,4001,3.019564550187e-09,5.320746549064e-09,#27eea4,5,yes,no
41,39,-1,dJ_-1,13,14,13,J 14->13,672,4001,2.365961660306e-09,2.173120145668e-09,#2cf09e,5,yes,no
42,40,0,dJ_+0,14,14,14,J 14->14,880,4001,2.350263210339e-09,2.993888980425e-09,#35f394,5,yes,no
43,42,1,dJ_+1,15,14,15,J 14->15,863,4001,1.829421505991e-09,2.119345492935e-09,#3cf58e,5,yes,no
44,51,-1,dJ_-1,17,15,14,J 15->14,941,4001,2.675372133186e-10,3.861775587502e-10,#43f787,5,yes,no
45,37,0,dJ_+0,13,15,15,J 15->15,920,4001,4.197379931660e-09,2.327404932255e-09,#4ef97d,5,yes,no
46,45,1,dJ_+1,16,15,16,J 15->16,1004,4001,1.585397100785e-09,1.344240026419e-09,#55fa76,5,yes,no
47,43,-1,dJ_-1,14,16,15,J 16->15,984,4001,1.819296780813e-09,1.325940917993e-09,#61fc6c,5,yes,no
48,48,0,dJ_+0,15,16,16,J 16->16,1068,4001,5.358847945618e-10,7.854755144506e-10,#69fd66,5,yes,no
49,41,1,dJ_+1,14,16,17,J 16->17,1188,4001,1.837097780545e-09,1.105160483610e-09,#71fe5f,5,yes,no
50,46,-1,dJ_-1,16,17,16,J 17->16,1134,4001,5.830711041838e-10,3.020229384010e-10,#7dff56,5,yes,no
51,50,0,dJ_+0,16,17,17,J 17->17,1254,4001,3.532235265039e-10,6.882320973617e-10,#84ff51,5,yes,no
52,49,1,dJ_+1,18,17,18,J 17->18,1274,4001,4.644723302742e-10,7.586317106440e-10,#8bff4b,5,yes,no
53,54,-1,dJ_-1,18,18,17,J 18->17,1329,4001,1.434280502282e-10,1.606861905371e-10,#96fe44,5,yes,no
54,53,0,dJ_+0,17,18,18,J 18->18,1345,4001,2.436921498084e-10,1.822556921621e-10,#9cfe40,5,yes,no
55,47,1,dJ_+1,17,18,19,J 18->19,1499,4001,5.480076709499e-10,4.385438837729e-10,#a4fc3c,5,yes,no
56,56,-1,dJ_-1,19,19,18,J 19->18,1418,4001,1.064076925093e-10,9.194034693989e-11,#a9fb39,5,yes,no
57,57,0,dJ_+0,18,19,19,J 19->19,1578,4001,3.156955613924e-11,6.362906770777e-11,#affa37,5,yes,no
58,52,1,dJ_+1,19,19,20,J 19->20,1778,4001,2.580138435489e-10,1.410611463541e-10,#b7f735,5,yes,no
59,62,-1,dJ_-1,20,20,19,J 20->19,1662,4001,1.569036985188e-11,2.617276242841e-11,#bcf534,5,yes,no
60,58,0,dJ_+0,19,20,20,J 20->20,1861,4001,2.973384960445e-11,2.595612527642e-11,#c1f334,5,yes,no
