 51 2059.914677 3.607E-20 1.622E+01.05100.054  806.38280.67-.003050              1              0                    P 20      47566310 8 5 5 1 1    39.0   41.0
 51 2060.332198 1.088E-23 3.277E+01.05530.059 2543.05670.72-.002787              2              1                    P 14      47566310 8 5 5 1 8    27.0   29.0
 51 2063.224928 1.158E-27 5.115E+01.06180.068 4365.74430.75-.002418              3              2                    P  7      47566310 8 5 5 1 8    13.0   15.0
 51 2064.396920 4.985E-20 1.635E+01.05170.055  729.67740.67-.003410              1              0                    P 19      47566310 8 5 5 1 1    37.0   39.0
 51 2064.583906 1.311E-23 3.306E+01.05610.060 2489.78310.73-.002765              2              1                    P 13      47566310 8 5 5 1 8    25.0   27.0
 51 2067.206871 1.130E-27 5.211E+01.06320.069 4339.32740.74-.002298              3              2                    P  6      47566310 8 5 5 1 8    11.0   13.0
 51 2068.802518 1.542E-23 3.337E+01.05690.062 2440.30620.74-.002736              2              1                    P 12      47566310 8 5 5 1 8    23.0   25.0
 51 2068.846945 6.744E-20 1.648E+01.05240.056  656.78920.68-.003500              1              0                    P 18      47566310 8 5 5 1 1    35.0   37.0
 51 2071.154695 1.054E-27 5.338E+01.06510.071 4316.68240.74-.002148              3              2                    P  5      47566310 8 5 5 1 8     9.0   11.0
 51 2072.987889 1.769E-23 3.371E+01.05770.063 2394.62790.75-.002699              2              1                    P 11      47566310 8 5 5 1 8    21.0   23.0
 51 2073.264607 8.929E-20 1.661E+01.05310.057  587.72090.69-.003350              1              0                    P 17      47566310 8 5 5 1 1    33.0   35.0
 51 2075.068253 9.256E-28 5.522E+01.06770.074 4297.81020.74-.001961              3              2                    P  4      47566310 8 5 5 1 8     7.0    9.0
 51 2077.139872 1.975E-23 3.408E+01.05860.064 2352.74990.75-.002651              2              1                    P 10      47566310 8 5 5 1 8    19.0   21.0
 51 2077.649758 1.156E-19 1.674E+01.05380.058  522.47510.70-.003290              1              0                    P 16      47566310 8 5 5 1 1    31.0   33.0
 51 2078.947398 7.485E-28 5.831E+01.07120.077 4282.71160.74-.001726              3              2                    P  3      47566310 8 5 5 1 8     5.0    7.0
 51 2081.258320 2.143E-23 3.448E+01.05950.065 2314.67390.75-.002591              2              1                    P  9      47566310 8 5 5 1 8    17.0   19.0
 51 2082.002254 1.464E-19 1.689E+01.05450.059  461.05450.71-.003260              1              0                    P 15      47566310 8 5 5 1 1    29.0   31.0
 51 2082.791982 5.282E-28 6.515E+01.07570.081 4271.38710.75-.001431              3              2                    P  2      47566310 8 5 5 1 8     3.0    5.0
 51 2085.343087 2.255E-23 3.494E+01.06060.066 2280.40130.75-.002514              2              1                    P  8      47566310 8 5 5 1 8    15.0   17.0
 51 2086.321945 1.812E-19 1.703E+01.05530.059  403.46120.72-.003350              1              0                    P 14      47566310 8 5 5 1 1    27.0   29.0
 51 2086.601860 2.745E-28 9.827E+01.08030.087 4263.83720.76-.001060              3              2                    P  1      47566310 8 5 5 1 8     1.0    3.0
 51 2089.394025 2.292E-23 3.548E+01.06180.068 2249.93340.75-.002418              2              1                    P  7      47566310 8 5 5 1 8    13.0   15.0
 51 2090.608687 2.189E-19 1.719E+01.05610.060  349.69750.73-.003510              1              0                    P 13      47566310 8 5 5 1 1    25.0   27.0
 51 2093.410988 2.241E-23 3.615E+01.06320.069 2223.27140.74-.002298              2              1                    P  6      47566310 8 5 5 1 8    11.0   13.0
 51 2094.116908 2.806E-28 3.312E+01.08030.087 4260.06220.76-.002018              3              2                    R  0      47566310 8 5 5 1 8     3.0    1.0
 51 2094.862333 2.581E-19 1.735E+01.05690.062  299.76560.74-.003410              1              0                    P 12      47566310 8 5 5 1 1    23.0   25.0
 51 2097.393829 2.091E-23 3.704E+01.06510.071 2200.41640.74-.002148              2              1                    P  5      47566310 8 5 5 1 8     9.0   11.0
 51 2097.821784 5.521E-28 3.996E+01.07570.081 4263.83720.75-.001922              3              2                    R  1      47566310 8 5 5 1 8     5.0    3.0
 51 2099.082735 2.967E-19 1.752E+01.05770.063  253.66720.75-.003620              1              0                    P 11      47566310 8 5 5 1 1    21.0   23.0
 51 2101.342401 1.839E-23 3.831E+01.06770.074 2181.36920.74-.001961              2              1                    P  4      47566310 8 5 5 1 8     7.0    9.0
 51 2101.491366 7.998E-28 4.304E+01.07120.077 4271.38710.74-.001841              3              2                    R  2      47566310 8 5 5 1 8     7.0    5.0
 51 2103.269747 3.319E-19 1.771E+01.05860.064  211.40410.75-.003570              1              0                    P 10      47566310 8 5 5 1 1    19.0   21.0
 51 2105.125507 1.011E-27 4.488E+01.06770.074 4282.71160.74-.001780              3              2                    R  3      47566310 8 5 5 1 8     9.0    7.0
 51 2105.256557 1.488E-23 4.046E+01.07120.077 2166.13050.74-.001726              2              1                    P  3      47566310 8 5 5 1 8     5.0    7.0
 51 2107.423223 3.607E-19 1.793E+01.05950.065  172.97800.75-.003590              1              0                    P  9      47566310 8 5 5 1 1    17.0   19.0
 51 2108.724059 1.177E-27 4.614E+01.06510.071 4297.81020.74-.001736              3              2                    R  4      47566310 8 5 5 1 8    11.0    9.0
 51 2109.136151 1.051E-23 4.521E+01.07570.081 2154.70100.75-.001431              2              1                    P  2      47566310 8 5 5 1 8     3.0    5.0
 51 2111.543014 3.801E-19 1.817E+01.06060.066  138.39040.75-.003580              1              0                    P  8      47566310 8 5 5 1 1    15.0   17.0
 51 2112.286877 1.291E-27 4.709E+01.06320.069 4316.68240.74-.001710              3              2                    R  5      47566310 8 5 5 1 8    13.0   11.0
 51 2112.981035 5.463E-24 6.819E+01.08030.087 2147.08110.76-.001060              2              1                    P  1      47566310 8 5 5 1 8     1.0    3.0
 51 2115.628975 3.870E-19 1.845E+01.06180.068  107.64240.75-.003490              1              0                    P  7      47566310 8 5 5 1 1    13.0   15.0
 51 2115.813813 1.351E-27 4.786E+01.06180.068 4339.32740.75-.001700              3              2                    R  6      47566310 8 5 5 1 8    15.0   13.0
 51 2119.304720 1.361E-27 4.851E+01.06060.066 4365.74430.75-.001704              3              2                    R  7      47566310 8 5 5 1 8    17.0   15.0
 51 2119.680959 3.789E-19 1.880E+01.06320.069   80.73540.74-.003440              1              0                    P  6      47566310 8 5 5 1 1    11.0   13.0
 51 2120.566086 5.586E-24 2.298E+01.08030.087 2143.27110.76-.002018              2              1                    R  0      47566310 8 5 5 1 8     3.0    1.0
 51 2122.759452 1.324E-27 4.908E+01.05950.065 4395.93220.75-.001720              3              2                    R  8      47566310 8 5 5 1 8    19.0   17.0
 51 2123.698818 3.539E-19 1.926E+01.06510.071   57.67040.74-.003310              1              0                    P  5      47566310 8 5 5 1 1     9.0   11.0
 51 2124.305960 1.099E-23 2.773E+01.07570.081 2147.08110.75-.001922              2              1                    R  1      47566310 8 5 5 1 8     5.0    3.0
 51 2126.177862 1.250E-27 4.959E+01.05860.064 4429.88980.75-.001746              3              2                    R  9      47566310 8 5 5 1 8    21.0   19.0
 51 2127.682406 3.114E-19 1.992E+01.06770.074   38.44810.74-.003090              1              0                    P  4      47566310 8 5 5 1 1     7.0    9.0
 51 2128.010537 1.591E-23 2.987E+01.07120.077 2154.70100.74-.001841              2              1                    R  2      47566310 8 5 5 1 8     7.0    5.0
