trace_index,strength_rank,delta_j,branch_label,delta_j_strength_rank,lower_j,upper_j,jpair_label,source_mode,available_sources,peak_source,peak_wavenumber_cm-1,peak_exomol_absorbance,peak_hitran_absorbance,exomol_line_count,hitran_line_count,line_count,exomol_source_file_count,hitran_source_file_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,plotted_in_figure,labeled_on_figure
24,23,0,dJ_+0,8,8,8,J 8->8,exomol_only,exomol,exomol,2936.060000,3.975458398528e-14,0.000000000000e+00,1385,0,1385,5,0,100001,3.975458398528e-14,1.718819203044e-14,#1ccdd8,5,yes,yes
25,16,1,dJ_+1,7,8,9,J 8->9,exomol_only,exomol,exomol,3032.290000,6.530917585598e-14,0.000000000000e+00,1923,0,1923,5,0,100001,6.530917585598e-14,2.168620927798e-14,#1ad4d0,5,yes,yes
26,26,-1,dJ_-1,8,9,8,J 9->8,exomol_only,exomol,exomol,2850.230000,3.412577703831e-14,0.000000000000e+00,1664,0,1664,5,0,100001,3.412577703831e-14,9.662152359422e-15,#18dbc5,5,yes,yes
27,29,0,dJ_+0,10,9,9,J 9->9,exomol_only,exomol,exomol,2935.000000,2.042663484805e-14,0.000000000000e+00,2284,0,2284,5,0,100001,2.042663484805e-14,1.262776201836e-14,#18e0bd,5,yes,no
28,24,1,dJ_+1,10,9,10,J 9->10,exomol_only,exomol,exomol,3042.760000,3.656394353622e-14,0.000000000000e+00,2402,0,2402,5,0,100001,3.656394353622e-14,1.517889811390e-14,#1ae4b6,5,yes,no
29,32,-1,dJ_-1,10,10,9,J 10->9,exomol_only,exomol,exomol,2839.540000,1.273952287749e-14,0.000000000000e+00,2566,0,2566,5,0,100001,1.273952287749e-14,7.659057983312e-15,#1fe9af,5,yes,no
30,27,0,dJ_+0,9,10,10,J 10->10,exomol_only,exomol,exomol,2933.360000,2.594312667160e-14,0.000000000000e+00,2663,0,2663,5,0,100001,2.594312667160e-14,8.727950818789e-15,#25eca7,5,yes,no
31,28,1,dJ_+1,11,10,11,J 10->11,exomol_only,exomol,exomol,3048.140000,2.309259948175e-14,0.000000000000e+00,3541,0,3541,5,0,100001,2.309259948175e-14,1.242349347980e-14,#2cf09e,5,yes,no
32,35,-1,dJ_-1,11,11,10,J 11->10,exomol_only,exomol,exomol,2788.140000,4.946929449580e-15,0.000000000000e+00,3114,0,3114,5,0,100001,4.946929449580e-15,4.099346777351e-15,#35f394,5,yes,no
33,33,0,dJ_+0,11,11,11,J 11->11,exomol_only,exomol,exomol,2932.220000,1.244012209801e-14,0.000000000000e+00,4134,0,4134,5,0,100001,1.244012209801e-14,6.088988746011e-15,#43f787,5,yes,no
34,30,1,dJ_+1,12,11,12,J 11->12,exomol_only,exomol,exomol,3062.570000,1.565133886172e-14,0.000000000000e+00,4332,0,4332,5,0,100001,1.565133886172e-14,7.911284952582e-15,#4ef97d,5,yes,no
35,39,-1,dJ_-1,13,12,11,J 12->11,exomol_only,exomol,exomol,2817.730000,3.506896133504e-15,0.000000000000e+00,4724,0,4724,5,0,100001,3.506896133504e-15,2.965765474370e-15,#59fb73,5,yes,no
36,36,0,dJ_+0,12,12,12,J 12->12,exomol_only,exomol,exomol,2944.840000,4.491999447473e-15,0.000000000000e+00,4977,0,4977,5,0,100001,4.491999447473e-15,3.922779520090e-15,#65fd69,5,yes,no
