trace_index,strength_rank,delta_j,branch_label,delta_j_strength_rank,lower_j,upper_j,jpair_label,source_mode,available_sources,peak_source,peak_wavenumber_cm-1,peak_exomol_absorbance,peak_hitran_absorbance,exomol_line_count,hitran_line_count,line_count,exomol_source_file_count,hitran_source_file_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,plotted_in_figure,labeled_on_figure
1,32,1,dJ_+1,11,0,1,J 0->1,exomol_only,exomol,exomol,2995.140000,3.250089844066e-08,0.000000000000e+00,3,0,3,1,0,100001,3.250089844066e-08,1.033821847629e-09,#30123b,1,yes,no
2,29,-1,dJ_-1,10,1,0,J 1->0,exomol_only,exomol,exomol,2939.260000,4.311535454426e-08,0.000000000000e+00,3,0,3,3,0,100001,4.311535454426e-08,1.447065310782e-09,#33184a,3,yes,no
3,27,0,dJ_+0,9,1,1,J 1->1,exomol_only,exomol,exomol,3023.620000,4.977808153365e-08,0.000000000000e+00,6,0,6,3,0,100001,4.977808153365e-08,2.910906718047e-09,#351e58,3,yes,no
4,3,1,dJ_+1,3,1,2,J 1->2,exomol_only,exomol,exomol,3006.260000,1.888099796950e-07,0.000000000000e+00,12,0,12,4,0,100001,1.888099796950e-07,8.469412532581e-09,#38276d,4,yes,yes
5,7,-1,dJ_-1,2,2,1,J 2->1,exomol_only,exomol,exomol,2963.990000,1.481803087559e-07,0.000000000000e+00,12,0,12,4,0,100001,1.481803087559e-07,5.940110255267e-09,#3a2d79,4,yes,yes
6,11,0,dJ_+0,3,2,2,J 2->2,exomol_only,exomol,exomol,3022.620000,1.410561661192e-07,0.000000000000e+00,18,0,18,4,0,100001,1.410561661192e-07,9.469547312486e-09,#3c3286,4,yes,yes
7,17,1,dJ_+1,7,2,3,J 2->3,exomol_only,exomol,exomol,3016.730000,1.147014496314e-07,0.000000000000e+00,27,0,27,4,0,100001,1.147014496314e-07,1.229275918681e-08,#3f3b97,4,yes,yes
8,8,-1,dJ_-1,3,3,2,J 3->2,exomol_only,exomol,exomol,2991.280000,1.454739481041e-07,0.000000000000e+00,27,0,27,5,0,100001,1.454739481041e-07,1.186539070332e-08,#4040a2,5,yes,yes
9,4,0,dJ_+0,1,3,3,J 3->3,exomol_only,exomol,exomol,2984.230000,1.684981264852e-07,0.000000000000e+00,36,0,36,5,0,100001,1.684981264852e-07,1.715211414536e-08,#4146ac,5,yes,yes
10,14,1,dJ_+1,6,3,4,J 3->4,exomol_only,exomol,exomol,3027.260000,1.315930316851e-07,0.000000000000e+00,48,0,48,5,0,100001,1.315930316851e-07,2.123337233217e-08,#434eba,5,yes,yes
11,19,-1,dJ_-1,6,4,3,J 4->3,exomol_only,exomol,exomol,2980.200000,9.619993801317e-08,0.000000000000e+00,48,0,48,5,0,100001,9.619993801317e-08,1.401432409684e-08,#4454c3,5,yes,yes
12,13,0,dJ_+0,4,4,4,J 4->4,exomol_only,exomol,exomol,3023.750000,1.339813327635e-07,0.000000000000e+00,60,0,60,5,0,100001,1.339813327635e-07,2.083325482333e-08,#455ccf,5,yes,yes
13,1,1,dJ_+1,1,4,5,J 4->5,exomol_only,exomol,exomol,3037.590000,2.651160448992e-07,0.000000000000e+00,75,0,75,5,0,100001,2.651160448992e-07,2.841956133627e-08,#4661d6,5,yes,yes
14,5,-1,dJ_-1,1,5,4,J 5->4,exomol_only,exomol,exomol,2931.880000,1.523742699610e-07,0.000000000000e+00,75,0,75,5,0,100001,1.523742699610e-07,2.063286539909e-08,#4666dd,5,yes,yes
15,9,0,dJ_+0,2,5,5,J 5->5,exomol_only,exomol,exomol,3019.360000,1.448118132654e-07,0.000000000000e+00,90,0,90,5,0,100001,1.448118132654e-07,2.398145340535e-08,#476ee6,5,yes,yes
16,6,1,dJ_+1,4,5,6,J 5->6,exomol_only,exomol,exomol,3047.660000,1.511390070713e-07,0.000000000000e+00,108,0,108,5,0,100001,1.511390070713e-07,3.011742324921e-08,#4773eb,5,yes,yes
17,10,-1,dJ_-1,4,6,5,J 6->5,exomol_only,exomol,exomol,2957.990000,1.443696307784e-07,0.000000000000e+00,108,0,108,5,0,100001,1.443696307784e-07,1.918721565130e-08,#4778f0,5,yes,yes
18,15,0,dJ_+0,5,6,6,J 6->6,exomol_only,exomol,exomol,3021.790000,1.277412603526e-07,0.000000000000e+00,126,0,126,5,0,100001,1.277412603526e-07,2.491107900058e-08,#4680f6,5,yes,yes
19,12,1,dJ_+1,5,6,7,J 6->7,exomol_only,exomol,exomol,3058.200000,1.374823466314e-07,0.000000000000e+00,152,0,152,5,0,100001,1.374823466314e-07,2.833807912102e-08,#4685fa,5,yes,yes
20,16,-1,dJ_-1,5,7,6,J 7->6,exomol_only,exomol,exomol,2947.030000,1.222212905438e-07,0.000000000000e+00,147,0,147,5,0,100001,1.222212905438e-07,1.741065222514e-08,#458cfd,5,yes,yes
21,21,0,dJ_+0,7,7,7,J 7->7,exomol_only,exomol,exomol,2981.830000,6.545068092771e-08,0.000000000000e+00,173,0,173,5,0,100001,6.545068092771e-08,2.254541891069e-08,#4391fe,5,yes,yes
22,2,1,dJ_+1,2,7,8,J 7->8,exomol_only,exomol,exomol,3068.480000,1.925365175195e-07,0.000000000000e+00,209,0,209,5,0,100001,1.925365175195e-07,3.034149577324e-08,#4196ff,5,yes,yes
23,23,-1,dJ_-1,7,8,7,J 8->7,exomol_only,exomol,exomol,2934.390000,6.349099668722e-08,0.000000000000e+00,199,0,199,5,0,100001,6.349099668722e-08,1.556550552348e-08,#3d9efe,5,yes,yes
24,20,0,dJ_+0,6,8,8,J 8->8,exomol_only,exomol,exomol,3020.640000,8.187202111498e-08,0.000000000000e+00,235,0,235,5,0,100001,8.187202111498e-08,1.931236141806e-08,#3aa3fc,5,yes,yes
25,18,1,dJ_+1,8,8,9,J 8->9,exomol_only,exomol,exomol,3078.350000,9.767188768279e-08,0.000000000000e+00,283,0,283,5,0,100001,9.767188768279e-08,2.315558628904e-08,#37a8fa,5,yes,yes
26,25,-1,dJ_-1,8,9,8,J 9->8,exomol_only,exomol,exomol,2924.990000,6.030096188099e-08,0.000000000000e+00,265,0,265,5,0,100001,6.030096188099e-08,1.269933702003e-08,#31aff5,5,yes,yes
27,26,0,dJ_+0,8,9,9,J 9->9,exomol_only,exomol,exomol,2984.810000,5.925938899746e-08,0.000000000000e+00,313,0,313,5,0,100001,5.925938899746e-08,1.592441357655e-08,#2eb4f2,5,yes,yes
28,22,1,dJ_+1,9,9,10,J 9->10,exomol_only,exomol,exomol,3092.180000,6.458291998071e-08,0.000000000000e+00,352,0,352,5,0,100001,6.458291998071e-08,1.914479560921e-08,#28bceb,5,yes,no
29,31,-1,dJ_-1,11,10,9,J 10->9,exomol_only,exomol,exomol,2913.740000,3.908968612424e-08,0.000000000000e+00,347,0,347,5,0,100001,3.908968612424e-08,8.599826736645e-09,#25c0e7,5,yes,no
30,30,0,dJ_+0,10,10,10,J 10->10,exomol_only,exomol,exomol,3019.090000,4.254056907803e-08,0.000000000000e+00,388,0,388,5,0,100001,4.254056907803e-08,1.178533172164e-08,#22c5e2,5,yes,no
