trace_index,strength_rank,delta_j,branch_label,delta_j_strength_rank,lower_j,upper_j,jpair_label,source_mode,available_sources,peak_source,peak_wavenumber_cm-1,peak_exomol_absorbance,peak_hitran_absorbance,exomol_line_count,hitran_line_count,line_count,exomol_source_file_count,hitran_source_file_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,plotted_in_figure,labeled_on_figure
1,26,1,dJ_+1,9,0,1,J 0->1,exomol_only,exomol,exomol,2932.450000,6.486096782340e-21,0.000000000000e+00,29,0,29,3,0,100001,6.486096782340e-21,6.991274093224e-22,#30123b,3,yes,no
2,21,-1,dJ_-1,7,1,0,J 1->0,exomol_only,exomol,exomol,2892.020000,1.241934307664e-20,0.000000000000e+00,32,0,32,4,0,100001,1.241934307664e-20,1.127599650810e-21,#372466,4,yes,yes
3,6,0,dJ_+0,3,1,1,J 1->1,exomol_only,exomol,exomol,2920.180000,3.837573803741e-20,0.000000000000e+00,85,0,85,5,0,100001,3.837573803741e-20,2.576552391856e-21,#3d358b,5,yes,yes
4,13,1,dJ_+1,4,1,2,J 1->2,exomol_only,exomol,exomol,3033.790000,2.457622134266e-20,0.000000000000e+00,159,0,159,5,0,100001,2.457622134266e-20,4.152898699171e-21,#4146ac,5,yes,yes
5,11,-1,dJ_-1,5,2,1,J 2->1,exomol_only,exomol,exomol,2967.190000,2.844750107302e-20,0.000000000000e+00,154,0,154,5,0,100001,2.844750107302e-20,3.823463656398e-21,#4456c7,5,yes,yes
6,1,0,dJ_+0,1,2,2,J 2->2,exomol_only,exomol,exomol,2917.790000,5.348685896408e-20,0.000000000000e+00,274,0,274,5,0,100001,5.348685896408e-20,6.080188665118e-21,#4666dd,5,yes,yes
7,3,1,dJ_+1,1,2,3,J 2->3,exomol_only,exomol,exomol,2954.540000,4.659968007109e-20,0.000000000000e+00,447,0,447,5,0,100001,4.659968007109e-20,7.665973598266e-21,#4776ee,5,yes,yes
8,2,-1,dJ_-1,1,3,2,J 3->2,exomol_only,exomol,exomol,2892.430000,4.959467533242e-20,0.000000000000e+00,463,0,463,5,0,100001,4.959467533242e-20,7.203148575028e-21,#4685fa,5,yes,yes
9,14,0,dJ_+0,5,3,3,J 3->3,exomol_only,exomol,exomol,3018.160000,2.412937156517e-20,0.000000000000e+00,723,0,723,5,0,100001,2.412937156517e-20,8.752220343398e-21,#4294ff,5,yes,yes
10,5,1,dJ_+1,2,3,4,J 3->4,exomol_only,exomol,exomol,2956.730000,4.133476638459e-20,0.000000000000e+00,892,0,892,5,0,100001,4.133476638459e-20,1.259150666521e-20,#3aa3fc,5,yes,yes
11,7,-1,dJ_-1,2,4,3,J 4->3,exomol_only,exomol,exomol,2945.000000,3.340447288490e-20,0.000000000000e+00,854,0,854,5,0,100001,3.340447288490e-20,8.599048479535e-21,#2fb2f4,5,yes,yes
