trace_index,strength_rank,delta_j,branch_label,delta_j_strength_rank,lower_j,upper_j,jpair_label,source_mode,available_sources,peak_source,peak_wavenumber_cm-1,peak_exomol_absorbance,peak_hitran_absorbance,exomol_line_count,hitran_line_count,line_count,exomol_source_file_count,hitran_source_file_count,grid_point_count,peak_absorbance,integrated_absorbance,color_hex,source_file_count,plotted_in_figure,labeled_on_figure
1,15,1,dJ_+1,9,0,1,J 0->1,merged,"exomol, hitran",exomol,3028.750000,2.391487610995e-01,6.781835538329e-02,1,1,2,1,1,100001,2.391487610995e-01,3.732819965745e-03,#30123b,2,yes,no
2,46,-1,dJ_-1,14,1,0,J 1->0,merged,"exomol, hitran",exomol,3009.010000,4.689072306204e-02,1.364855149208e-02,1,1,2,1,1,100001,4.689072306204e-02,6.945398776953e-04,#321543,2,yes,no
3,31,0,dJ_+0,11,1,1,J 1->1,merged,"exomol, hitran",exomol,3018.820000,1.073991116676e-01,3.107601764963e-02,1,1,2,1,1,100001,1.073991116676e-01,2.096083650577e-03,#341b51,2,yes,no
4,14,1,dJ_+1,8,1,2,J 1->2,merged,"exomol, hitran",exomol,3038.500000,2.393785485102e-01,6.974458808449e-02,2,2,4,1,1,100001,2.393785485102e-01,3.592408405247e-03,#36215f,2,yes,yes
5,34,-1,dJ_-1,9,2,1,J 2->1,merged,"exomol, hitran",exomol,2998.990000,1.006049101322e-01,3.065318116459e-02,2,2,4,2,1,100001,1.006049101322e-01,3.090060013897e-03,#38276d,3,yes,no
6,20,0,dJ_+0,7,2,2,J 2->2,merged,"exomol, hitran",exomol,3018.650000,2.195648373131e-01,6.734643201830e-02,3,3,6,2,1,100001,2.195648373131e-01,5.293144230250e-03,#3a2d79,3,yes,yes
7,13,1,dJ_+1,7,2,3,J 2->3,merged,"exomol, hitran",exomol,3048.150000,2.681898940646e-01,8.196445135738e-02,5,5,10,2,1,100001,2.681898940646e-01,7.640077481922e-03,#3c3286,3,yes,yes
8,21,-1,dJ_-1,4,3,2,J 3->2,merged,"exomol, hitran",exomol,2988.800000,2.158573703168e-01,7.090780298265e-02,5,5,10,3,1,100001,2.158573703168e-01,9.580839076192e-03,#3e3891,4,yes,yes
9,5,0,dJ_+0,2,3,3,J 3->3,merged,"exomol, hitran",exomol,3018.530000,4.312594890476e-01,1.427549713362e-01,6,6,12,3,1,100001,4.312594890476e-01,1.398625052010e-02,#3f3e9c,4,yes,yes
10,2,1,dJ_+1,2,3,4,J 3->4,merged,"exomol, hitran",exomol,3057.690000,5.297842545877e-01,1.754202800498e-01,8,8,16,3,1,100001,5.297842545877e-01,1.875271146097e-02,#4143a7,4,yes,yes
11,7,-1,dJ_-1,1,4,3,J 4->3,merged,"exomol, hitran",exomol,2979.010000,3.382814735599e-01,1.238801506902e-01,8,8,16,4,1,100001,3.382814735599e-01,1.285191501590e-02,#4249b1,5,yes,yes
12,4,0,dJ_+0,1,4,4,J 4->4,merged,"exomol, hitran",exomol,3017.710000,4.421224843061e-01,1.624888280145e-01,10,10,20,4,1,100001,4.421224843061e-01,1.727252877259e-02,#434eba,5,yes,yes
13,1,1,dJ_+1,1,4,5,J 4->5,merged,"exomol, hitran",exomol,3067.300000,5.857079645636e-01,2.154674691180e-01,13,13,26,4,1,100001,5.857079645636e-01,2.235010174015e-02,#4454c3,5,yes,yes
14,25,-1,dJ_-1,6,5,4,J 5->4,merged,"exomol, hitran",exomol,2968.400000,1.719610264051e-01,7.140397345131e-02,13,13,26,3,1,100001,1.719610264051e-01,1.062844839525e-02,#4559cb,4,yes,yes
15,18,0,dJ_+0,5,5,5,J 5->5,merged,"exomol, hitran",exomol,3017.160000,2.231465572661e-01,9.308376664980e-02,15,15,30,3,1,100001,2.231465572661e-01,1.385853729752e-02,#455ed3,4,yes,yes
16,9,1,dJ_+1,5,5,6,J 5->6,merged,"exomol, hitran",exomol,3076.550000,3.264305111336e-01,1.365252907812e-01,18,18,36,3,1,100001,3.264305111336e-01,1.751089576191e-02,#4664da,4,yes,yes
17,12,-1,dJ_-1,2,6,5,J 6->5,merged,"exomol, hitran",exomol,2958.020000,2.692211736028e-01,1.305561102505e-01,18,18,36,5,1,100001,2.692211736028e-01,1.809360642059e-02,#4669e0,6,yes,yes
18,8,0,dJ_+0,3,6,6,J 6->6,merged,"exomol, hitran",exomol,3017.470000,3.335048684619e-01,1.618917057242e-01,21,21,42,5,1,100001,3.335048684619e-01,2.310224490603e-02,#466be3,6,yes,yes
19,3,1,dJ_+1,3,6,7,J 6->7,merged,"exomol, hitran",exomol,3086.030000,4.528986110263e-01,2.214021945355e-01,25,25,50,5,1,100001,4.528986110263e-01,2.876192370155e-02,#4771e9,6,yes,yes
20,17,-1,dJ_-1,3,7,6,J 7->6,merged,"exomol, hitran",exomol,2948.110000,2.282577120023e-01,1.323281588493e-01,25,25,50,4,1,100001,2.282577120023e-01,1.338955256031e-02,#4776ee,5,yes,yes
21,11,0,dJ_+0,4,7,7,J 7->7,merged,"exomol, hitran",exomol,3016.500000,2.796007547927e-01,1.629274859868e-01,28,28,56,4,1,100001,2.796007547927e-01,1.695861894259e-02,#477bf2,5,yes,yes
22,6,1,dJ_+1,4,7,8,J 7->8,merged,"exomol, hitran",exomol,3095.180000,3.674027105540e-01,2.152963296252e-01,32,32,64,4,1,100001,3.674027105540e-01,2.091134321829e-02,#4680f6,5,yes,yes
23,24,-1,dJ_-1,5,8,7,J 8->7,merged,"exomol, hitran",exomol,2938.250000,1.809931421942e-01,1.284093619863e-01,32,32,64,4,1,100001,1.809931421942e-01,1.120100855040e-02,#4685fa,5,yes,yes
24,19,0,dJ_+0,6,8,8,J 8->8,merged,"exomol, hitran",exomol,3014.710000,2.208013662047e-01,1.588903899220e-01,36,36,72,4,1,100001,2.208013662047e-01,1.416112196953e-02,#458afc,5,yes,yes
25,10,1,dJ_+1,6,8,9,J 8->9,merged,"exomol, hitran",exomol,3104.580000,3.049558484439e-01,2.169871745364e-01,41,41,82,4,1,100001,3.049558484439e-01,1.734039502832e-02,#448ffe,5,yes,yes
