progression_label,lower_mode,upper_mode,shared_jpair_count,hitran_only_jpair_count,exomol_only_jpair_count,hitran_contributing_jpair_count,exomol_contributing_jpair_count,jpair_count,grid_point_count,delta_j_minus_1_count,delta_j_0_count,delta_j_plus_1_count,skipped_jpair_count,labeled_j_pairs,png_file,html_file,mapping_csv
nu3 0->1,0 0 0 0,0 0 1 0,72,0,61,72,133,133,100001,44,44,45,0,"dJ_-1: J 10->9, J 9->8, J 5->4, J 8->7, J 3->2, J 7->6, J 6->5, J 4->3; dJ_+0: J 10->10, J 2->2, J 8->8, J 5->5, J 7->7, J 6->6, J 3->3, J 4->4; dJ_+1: J 1->2, J 2->3, J 8->9, J 5->6, J 7->8, J 6->7, J 3->4, J 4->5",nu3_0_to_1_absorbance.png,nu3_0_to_1_absorbance.html,nu3_0_to_1_jpairs.csv
nu3 1->2,0 0 1 0,0 0 2 0,0,0,109,0,109,109,100001,36,36,37,0,"dJ_-1: J 9->8, J 8->7, J 4->3, J 7->6, J 6->5, J 3->2, J 2->1, J 5->4; dJ_+0: J 9->9, J 7->7, J 8->8, J 6->6, J 4->4, J 2->2, J 5->5, J 3->3; dJ_+1: J 8->9, J 2->3, J 3->4, J 6->7, J 5->6, J 1->2, J 7->8, J 4->5",nu3_1_to_2_absorbance.png,nu3_1_to_2_absorbance.html,nu3_1_to_2_jpairs.csv
nu3 2->3,0 0 2 0,0 0 3 0,0,0,82,0,82,82,100001,27,27,28,0,"dJ_-1: J 9->8, J 7->6, J 8->7, J 5->4, J 6->5, J 2->1, J 3->2, J 4->3; dJ_+0: J 8->8, J 2->2, J 1->1, J 3->3, J 7->7, J 6->6, J 5->5, J 4->4; dJ_+1: J 0->1, J 8->9, J 3->4, J 4->5, J 2->3, J 6->7, J 7->8, J 5->6",nu3_2_to_3_absorbance.png,nu3_2_to_3_absorbance.html,nu3_2_to_3_jpairs.csv
nu3 3->4,0 0 3 0,0 0 4 0,0,0,43,0,43,43,100001,14,14,15,0,"dJ_-1: J 8->7, J 1->0, J 7->6, J 2->1, J 6->5, J 5->4, J 4->3, J 3->2; dJ_+0: J 8->8, J 7->7, J 6->6, J 3->3, J 5->5, J 1->1, J 4->4, J 2->2; dJ_+1: J 8->9, J 7->8, J 6->7, J 4->5, J 1->2, J 5->6, J 3->4, J 2->3",nu3_3_to_4_absorbance.png,nu3_3_to_4_absorbance.html,nu3_3_to_4_jpairs.csv
