trace_index,strength_rank,lower_j,upper_j,jpair_label,point_count,peak_intensity,total_intensity,color_hex,source_file_count,labeled_on_figure
1,25,0,1,J 0->1,29,3.239921942500e-39,1.809343236049e-38,#30123b,3,no
2,21,1,0,J 1->0,32,4.678044967700e-39,2.917206529834e-38,#372466,4,no
3,7,1,1,J 1->1,85,1.436391446700e-38,6.668070423506e-38,#3d358b,5,yes
4,13,1,2,J 1->2,159,1.071369272600e-38,1.075833683065e-37,#4146ac,5,no
5,11,2,1,J 2->1,154,1.144183571000e-38,9.908206821293e-38,#4456c7,5,no
6,2,2,2,J 2->2,274,1.988162255100e-38,1.574752975043e-37,#4666dd,5,yes
7,5,2,3,J 2->3,447,1.713278221700e-38,1.983727953988e-37,#4776ee,5,yes
8,4,3,2,J 3->2,463,1.899294328400e-38,1.865761591820e-37,#4685fa,5,yes
9,12,3,3,J 3->3,723,1.092582275400e-38,2.267340639980e-37,#4294ff,5,no
10,1,3,4,J 3->4,892,2.019057127300e-38,3.262536481168e-37,#3aa3fc,5,yes
11,10,4,3,J 4->3,854,1.215582686900e-38,2.224922489534e-37,#2fb2f4,5,no
12,3,4,4,J 4->4,1043,1.947656910700e-38,2.852111180686e-37,#23c3e4,5,yes
13,15,4,5,J 4->5,1945,8.460114133700e-39,3.902305085740e-37,#1bd0d5,5,no
14,9,5,4,J 5->4,1717,1.222555403800e-38,3.027167974940e-37,#18dbc5,5,no
15,14,5,5,J 5->5,3189,9.134322763900e-39,4.135350548722e-37,#1ae4b6,5,no
16,8,5,6,J 5->6,3859,1.328049454000e-38,4.558699698204e-37,#25eca7,5,yes
17,6,6,5,J 6->5,3425,1.498199226700e-38,3.403746756933e-37,#35f394,5,yes
18,19,6,6,J 6->6,4102,4.967500979900e-39,3.671814273394e-37,#4af880,5,no
19,16,6,7,J 6->7,5396,7.276540608900e-39,4.089355348051e-37,#61fc6c,5,no
20,18,7,6,J 7->6,4594,5.409251950400e-39,2.867845380575e-37,#79fe59,5,no
21,17,7,7,J 7->7,5937,5.501413456900e-39,3.488984937731e-37,#8fff49,5,no
22,20,7,8,J 7->8,8148,4.890314501800e-39,4.497761907247e-37,#a4fc3c,5,no
23,23,8,7,J 8->7,8160,3.969051938500e-39,2.563364408848e-37,#b4f836,5,no
24,22,8,8,J 8->8,11025,4.134565423100e-39,3.552654985956e-37,#c3f134,5,no
25,24,8,9,J 8->9,12898,3.948270068100e-39,3.701091735606e-37,#d2e935,5,no
26,27,9,8,J 9->8,15321,2.232798944100e-39,2.457242665578e-37,#dfdf37,5,no
27,26,9,9,J 9->9,17995,2.879451384100e-39,2.896595160144e-37,#ebd339,5,no
28,30,9,10,J 9->10,20577,1.470404573000e-39,3.203920776318e-37,#f4c73a,5,no
29,31,10,9,J 10->9,18792,1.128206746000e-39,1.544872591022e-37,#faba39,5,no
30,28,10,10,J 10->10,21564,1.862218515700e-39,1.929601283918e-37,#fdac34,5,no
31,29,10,11,J 10->11,27267,1.856759693600e-39,2.416990801069e-37,#fe9b2d,5,no
32,36,11,10,J 11->10,28521,4.616079850600e-40,1.171970001791e-37,#fd8a26,5,no
33,33,11,11,J 11->11,36017,8.876421490100e-40,1.651566843235e-37,#f9751d,5,no
34,34,11,12,J 11->12,44066,7.014282775000e-40,2.085177006943e-37,#f36315,5,no
35,37,12,11,J 12->11,37960,4.308630647600e-40,7.656788700832e-38,#ec530f,5,no
36,35,12,12,J 12->12,46304,6.565455319300e-40,1.083680712079e-37,#e4450a,5,no
37,32,12,13,J 12->13,61886,9.370495194000e-40,1.494625076138e-37,#da3907,5,no
38,40,13,12,J 13->12,60387,1.608956157200e-40,5.985221181974e-38,#ce2d04,5,no
39,39,13,13,J 13->13,80428,1.847584938100e-40,8.969808993011e-38,#c12302,5,no
40,38,13,14,J 13->14,92945,2.404830903700e-40,1.179508236029e-37,#b21a01,5,no
41,42,14,13,J 14->13,50264,1.140641301500e-40,2.326787532012e-38,#a11201,5,no
42,41,14,14,J 14->14,57872,1.513025204100e-40,3.057612083098e-38,#8e0a01,5,no
43,43,14,15,J 14->15,70530,9.809953535500e-41,4.252974050125e-38,#7a0403,5,no
