trace_index,strength_rank,lower_j,upper_j,jpair_label,point_count,peak_intensity,total_intensity,color_hex,source_file_count,labeled_on_figure
1,16,0,1,J 0->1,1,9.660808592400e-20,9.660808592400e-20,#30123b,1,no
2,35,1,0,J 1->0,1,1.794187630300e-20,1.794187630300e-20,#321543,1,no
3,25,1,1,J 1->1,1,5.446133197700e-20,5.446133197700e-20,#341b51,1,no
4,17,1,2,J 1->2,2,9.283148559900e-20,9.284236626393e-20,#36215f,1,no
5,28,2,1,J 2->1,2,4.802014644700e-20,8.004764326700e-20,#38276d,2,no
6,20,2,2,J 2->2,3,8.175729160000e-20,1.366399704013e-19,#3a2d79,2,no
7,10,2,3,J 2->3,5,1.185509586000e-19,1.978065979165e-19,#3c3286,2,no
8,12,3,2,J 3->2,5,1.129678764200e-19,2.487083843894e-19,#3e3891,3,no
9,5,3,3,J 3->3,6,1.643909776500e-19,3.614389606840e-19,#3f3e9c,3,yes
10,2,3,4,J 3->4,8,2.206596635300e-19,4.854948746174e-19,#4143a7,3,yes
11,8,4,3,J 4->3,8,1.277022828700e-19,3.317122503374e-19,#4249b1,4,yes
12,4,4,4,J 4->4,10,1.721512457100e-19,4.479236926313e-19,#434eba,4,yes
13,1,4,5,J 4->5,13,2.215028949300e-19,5.783725486595e-19,#4454c3,4,yes
14,22,5,4,J 5->4,13,7.529488341200e-20,2.760793816430e-19,#4559cb,3,no
15,15,5,5,J 5->5,15,9.757446535100e-20,3.595825725888e-19,#455ed3,3,no
16,9,5,6,J 5->6,18,1.234023346300e-19,4.533656628352e-19,#4664da,3,no
17,13,6,5,J 6->5,18,1.116962605300e-19,4.684485775358e-19,#4669e0,5,no
18,6,6,6,J 6->6,21,1.427368564200e-19,5.986807923601e-19,#466be3,5,yes
19,3,6,7,J 6->7,25,1.770066263000e-19,7.441962914224e-19,#4771e9,5,yes
20,18,7,6,J 7->6,25,8.890277205900e-20,3.463503289662e-19,#4776ee,4,no
21,11,7,7,J 7->7,28,1.131577092000e-19,4.385809507830e-19,#477bf2,4,no
22,7,7,8,J 7->8,32,1.412861026800e-19,5.405311176995e-19,#4680f6,4,yes
23,23,8,7,J 8->7,32,6.927463149500e-20,2.904927451506e-19,#4685fa,4,no
24,19,8,8,J 8->8,36,8.587870710600e-20,3.665538449288e-19,#458afc,4,no
25,14,8,9,J 8->9,41,1.042201874700e-19,4.496194555364e-19,#448ffe,4,no
26,27,9,8,J 9->8,41,4.845799144200e-20,2.641042870359e-19,#4294ff,5,no
27,24,9,9,J 9->9,45,6.185255214500e-20,3.344786229468e-19,#4099ff,5,no
28,21,9,10,J 9->10,50,7.568137454400e-20,4.093452015830e-19,#3d9efe,5,no
29,30,10,9,J 10->9,50,3.258054002200e-20,1.885790887199e-19,#3aa3fc,5,no
30,29,10,10,J 10->10,55,4.070500803900e-20,2.397773537313e-19,#37a8fa,5,no
31,26,10,11,J 10->11,61,5.015459961700e-20,2.930541753688e-19,#33adf7,5,no
32,33,11,10,J 11->10,61,1.983540177900e-20,1.096102701171e-19,#2fb2f4,4,no
33,32,11,11,J 11->11,66,2.472425210800e-20,1.404753771353e-19,#2cb7f0,4,no
34,31,11,12,J 11->12,72,3.111017802900e-20,1.717400799290e-19,#28bceb,4,no
35,37,12,11,J 12->11,72,1.198874710500e-20,8.835639307499e-20,#27bee9,5,no
36,36,12,12,J 12->12,78,1.532196032200e-20,1.143385671754e-19,#23c3e4,5,no
37,34,12,13,J 12->13,85,1.874012718800e-20,1.399917319529e-19,#20c7df,5,no
38,40,13,12,J 13->12,85,6.481849654800e-21,4.644246347133e-20,#1ecbda,5,no
39,39,13,13,J 13->13,91,8.561880134400e-21,6.075187752740e-20,#1bd0d5,5,no
40,38,13,14,J 13->14,98,1.056676376200e-20,7.450234476605e-20,#1ad4d0,5,no
41,43,14,13,J 14->13,98,3.505267335600e-21,2.580328956274e-20,#18d7ca,5,no
42,42,14,14,J 14->14,105,4.545939585300e-21,3.415751551514e-20,#18dbc5,5,no
43,41,14,15,J 14->15,113,5.576575387000e-21,4.192622493935e-20,#18dec0,5,no
44,46,15,14,J 15->14,113,1.700889056600e-21,1.487470504235e-20,#19e2bb,5,no
45,45,15,15,J 15->15,120,2.279586839300e-21,1.995541323565e-20,#1ae4b6,5,no
46,44,15,16,J 15->16,128,2.841372872300e-21,2.460801872721e-20,#1de7b2,5,no
47,49,16,15,J 16->15,128,8.194394635200e-22,7.334368059632e-21,#20eaac,5,no
48,48,16,16,J 16->16,136,1.098722132500e-21,9.974693833678e-21,#25eca7,5,no
49,47,16,17,J 16->17,145,1.342002405700e-21,1.231426040154e-20,#2aefa1,5,no
50,52,17,16,J 17->16,145,3.574308685800e-22,3.124871863161e-21,#2ff19b,5,no
51,51,17,17,J 17->17,153,4.884597549300e-22,4.307450217493e-21,#32f298,5,no
52,50,17,18,J 17->18,162,6.139701178700e-22,5.343841364875e-21,#38f491,5,no
53,55,18,17,J 18->17,162,1.553680051400e-22,1.627077933693e-21,#3ff68a,5,no
54,54,18,18,J 18->18,171,2.152429565000e-22,2.277962562209e-21,#46f884,5,no
55,53,18,19,J 18->19,181,2.653978519800e-22,2.835756009363e-21,#4ef97d,5,no
56,58,19,18,J 19->18,181,5.928618698400e-23,6.281468448731e-22,#55fa76,5,no
57,57,19,19,J 19->19,190,8.606491694800e-23,8.895138282729e-22,#5dfc6f,5,no
58,56,19,20,J 19->20,200,1.079648977300e-22,1.117682423039e-21,#65fd69,5,no
59,61,20,19,J 20->19,200,2.383042613600e-23,2.488021125597e-22,#6dfe62,5,no
60,60,20,20,J 20->20,210,3.424529979700e-23,3.568076134323e-22,#75fe5c,5,no
61,59,20,21,J 20->21,221,4.212334096800e-23,4.519293539282e-22,#7dff56,5,no
62,64,21,20,J 21->20,221,7.632349840800e-24,9.974589327773e-23,#84ff51,5,no
63,63,21,21,J 21->21,231,1.206996559200e-23,1.425982230779e-22,#8bff4b,5,no
64,62,21,22,J 21->22,248,1.569770343600e-23,1.860677400213e-22,#92ff47,5,no
65,67,22,21,J 22->21,242,2.996817326800e-24,3.540422153505e-23,#99fe42,5,no
66,66,22,22,J 22->22,258,4.324914647000e-24,5.122284853826e-23,#9ffd3f,5,no
67,65,22,23,J 22->23,277,5.461971451300e-24,6.742002275516e-23,#a4fc3c,5,no
68,70,23,22,J 23->22,271,9.597688032300e-25,1.115110332942e-23,#a7fc3a,5,no
69,69,23,23,J 23->23,288,1.308813709500e-24,1.654703851028e-23,#acfb38,5,no
70,68,23,24,J 23->24,306,1.806667652000e-24,2.164585842919e-23,#b1f936,5,no
71,73,24,23,J 24->23,300,3.074268209900e-25,4.033677770843e-24,#b7f735,5,no
72,72,24,24,J 24->24,318,4.633180039900e-25,6.160318981638e-24,#bcf534,5,no
