trace_index,strength_rank,lower_j,upper_j,jpair_label,point_count,peak_intensity,total_intensity,color_hex,source_file_count,labeled_on_figure
73,71,24,25,J 24->25,362,5.680156742100e-25,8.032853333097e-24,#c1f334,5,no
74,76,25,24,J 25->24,332,8.927886186300e-26,1.147964281550e-24,#c6f034,5,no
75,75,25,25,J 25->25,376,1.280659532000e-25,1.864173696516e-24,#cbed34,5,no
76,74,25,26,J 25->26,406,1.627191429700e-25,2.350968861771e-24,#d0ea34,5,no
77,79,26,25,J 26->25,391,2.587322414900e-26,3.405349524037e-25,#d4e735,5,no
78,78,26,26,J 26->26,422,3.918899804200e-26,5.537104984221e-25,#d9e436,5,no
79,77,26,27,J 26->27,439,4.127620374500e-26,6.983931070500e-25,#dde037,5,no
80,82,27,26,J 27->26,437,6.818285172000e-27,9.903038484646e-26,#e1dd37,5,no
81,81,27,27,J 27->27,456,9.641958540700e-27,1.636031099652e-25,#e5d938,5,no
82,80,27,28,J 27->28,496,1.127607684400e-26,2.068485358375e-25,#e9d539,5,no
83,85,28,27,J 28->27,473,1.732195043100e-27,2.651035254607e-26,#ecd13a,5,no
84,84,28,28,J 28->28,514,2.338936412600e-27,4.427309253268e-26,#eecf3a,5,no
85,83,28,29,J 28->29,535,3.544572394200e-27,5.566061134462e-26,#f1cb3a,5,no
86,88,29,28,J 29->28,535,4.214435396000e-28,6.352721224958e-27,#f4c73a,5,no
87,87,29,29,J 29->29,552,5.926955089600e-28,1.067274620040e-26,#f6c33a,5,no
88,86,29,30,J 29->30,585,8.192800722400e-28,1.353782234900e-26,#f8be39,5,no
89,91,30,29,J 30->29,571,1.006369786900e-28,1.681614421544e-27,#faba39,5,no
90,90,30,30,J 30->30,607,1.375783132300e-28,2.845241370386e-27,#fbb637,5,no
91,89,30,31,J 30->31,619,2.040998858200e-28,3.516628748974e-27,#fcb136,5,no
92,94,31,30,J 31->30,629,1.969310016900e-29,3.668275338897e-28,#fdac34,5,no
93,93,31,31,J 31->31,641,2.926153884500e-29,6.226610280004e-28,#fea732,5,no
94,92,31,32,J 31->32,677,4.003511809100e-29,7.689997773400e-28,#fea130,5,no
95,97,32,31,J 32->31,661,4.697732027800e-30,7.930681196859e-29,#fe9b2d,5,no
96,96,32,32,J 32->32,700,7.203176913600e-30,1.358387896813e-28,#fe962b,5,no
97,95,32,33,J 32->33,748,8.859826333300e-30,1.786750461715e-28,#fe9029,5,no
98,100,33,32,J 33->32,720,8.793782084200e-31,1.651056038160e-29,#fd8a26,5,no
99,99,33,33,J 33->33,771,1.101720422800e-30,3.103179633284e-29,#fc8423,5,no
100,98,33,34,J 33->34,802,1.822581400000e-30,3.836176371060e-29,#fb7e21,5,no
101,103,34,33,J 34->33,793,1.720207366900e-31,3.424558559773e-30,#fa7b1f,5,no
102,102,34,34,J 34->34,824,3.440728358900e-31,6.238021961625e-30,#f9751d,5,no
103,101,34,35,J 34->35,843,3.515202674100e-31,7.995962529351e-30,#f76f1a,5,no
104,106,35,34,J 35->34,851,2.969842881100e-32,6.124858025782e-31,#f56918,5,no
105,105,35,35,J 35->35,869,4.085371818900e-32,1.175754470897e-30,#f36315,5,no
106,104,35,36,J 35->36,891,6.612491096300e-32,1.474315949901e-30,#f15d13,5,no
107,109,36,35,J 36->35,892,5.383556868200e-33,1.196560775720e-31,#ef5811,5,no
108,107,36,36,J 36->36,915,1.273658777200e-32,2.358005645350e-31,#ec530f,5,no
109,108,36,37,J 36->37,915,1.163707840600e-32,2.948533612083e-31,#ea4e0d,5,no
110,112,37,36,J 37->36,939,9.374986887200e-34,2.028484027906e-32,#e7490c,5,no
111,111,37,37,J 37->37,941,1.398709763300e-33,3.958685969170e-32,#e4450a,5,no
112,110,37,38,J 37->38,946,2.043581835300e-33,5.018586316343e-32,#e14109,5,no
113,115,38,37,J 38->37,960,1.380064067800e-34,3.324615728571e-33,#dd3d08,5,no
114,113,38,38,J 38->38,971,3.854605876400e-34,6.677443350302e-33,#da3907,5,no
115,114,38,39,J 38->39,974,3.365301015200e-34,8.539010527635e-33,#d63506,5,no
116,118,39,38,J 39->38,990,2.394004037000e-35,5.345232270152e-34,#d23105,5,no
117,117,39,39,J 39->39,998,3.753465922900e-35,1.116055280038e-33,#d02f05,5,no
118,116,39,40,J 39->40,1027,4.877195503300e-35,1.407817288594e-33,#cc2b04,5,no
119,121,40,39,J 40->39,1018,4.365443627700e-36,8.344469595305e-35,#c82803,5,no
120,119,40,40,J 40->40,1051,9.705354889800e-36,1.722207632542e-34,#c32503,5,no
121,120,40,41,J 40->41,1084,7.590574279300e-36,2.202337519759e-34,#be2102,5,no
122,124,41,40,J 41->40,1046,3.914531211600e-37,1.189974752676e-35,#b91e02,5,no
123,123,41,41,J 41->41,1110,8.630201170400e-37,2.470643240622e-35,#b41b01,5,no
124,122,41,42,J 41->42,1132,1.115011415100e-36,3.106816961558e-35,#af1801,5,no
125,127,42,41,J 42->41,1041,9.225679232800e-38,1.736161257129e-36,#a91601,5,no
126,125,42,42,J 42->42,1158,2.026664311000e-37,3.763500681881e-36,#a41301,5,no
127,126,42,43,J 42->43,1192,1.647727908000e-37,4.695437621006e-36,#9e1001,5,no
128,130,43,42,J 43->42,995,1.111226620000e-38,2.297094945938e-37,#980e01,5,no
129,129,43,43,J 43->43,1220,1.671792858700e-38,4.890270019519e-37,#920b01,5,no
130,128,43,44,J 43->44,1281,2.187127976500e-38,6.179507375795e-37,#8b0902,5,no
131,133,44,43,J 44->43,764,1.599329703100e-39,2.203883504083e-38,#850702,5,no
132,132,44,44,J 44->44,959,2.655132536400e-39,5.033627347963e-38,#7e0502,5,no
133,131,44,45,J 44->45,910,3.008043878300e-39,6.014358241437e-38,#7a0403,5,no
