trace_index,strength_rank,lower_j,upper_j,jpair_label,point_count,peak_intensity,total_intensity,color_hex,source_file_count,labeled_on_figure
1,31,0,1,J 0->1,3,1.380977291600e-26,2.680226701180e-26,#30123b,1,no
2,29,1,0,J 1->0,3,1.564448440600e-26,3.735916697330e-26,#33184a,3,no
3,26,1,1,J 1->1,6,2.129638103500e-26,7.535933420010e-26,#351e58,3,no
4,4,1,2,J 1->2,12,6.995760900900e-26,2.192752481742e-25,#38276d,4,yes
5,11,2,1,J 2->1,12,5.431596497200e-26,1.536554643414e-25,#3a2d79,4,no
6,3,2,2,J 2->2,18,7.180302857400e-26,2.452562549068e-25,#3c3286,4,yes
7,14,2,3,J 2->3,27,5.010481718600e-26,3.183829956399e-25,#3f3b97,4,no
8,8,3,2,J 3->2,27,5.809999523300e-26,3.070177338806e-25,#4040a2,5,yes
9,5,3,3,J 3->3,36,6.988304766700e-26,4.442977865360e-25,#4146ac,5,yes
10,9,3,4,J 3->4,48,5.627817731200e-26,5.499656102236e-25,#434eba,5,no
11,19,4,3,J 4->3,48,3.626707164800e-26,3.626019548188e-25,#4454c3,5,no
12,7,4,4,J 4->4,60,5.876322698000e-26,5.396493673472e-25,#455ccf,5,yes
13,1,4,5,J 4->5,75,1.066732332500e-25,7.354274682564e-25,#4661d6,5,yes
14,10,5,4,J 5->4,75,5.551104282900e-26,5.342583549934e-25,#4666dd,5,no
15,12,5,5,J 5->5,90,5.409575338300e-26,6.204529618538e-25,#476ee6,5,no
16,6,5,6,J 5->6,108,6.901350843200e-26,7.799842791794e-25,#4773eb,5,yes
17,17,6,5,J 6->5,108,4.570194414700e-26,4.965123060900e-25,#4778f0,5,no
18,15,6,6,J 6->6,126,4.768902514000e-26,6.449838076148e-25,#4680f6,5,no
19,13,6,7,J 6->7,152,5.181988122600e-26,7.334686800094e-25,#4685fa,5,no
20,16,7,6,J 7->6,147,4.615843643300e-26,4.507333947849e-25,#458cfd,5,no
21,24,7,7,J 7->7,173,2.414718148000e-26,5.838981735597e-25,#4391fe,5,no
22,2,7,8,J 7->8,209,7.280480141600e-26,7.856404150138e-25,#4196ff,5,yes
23,21,8,7,J 8->7,199,2.742838457100e-26,4.031604764382e-25,#3d9efe,5,no
24,20,8,8,J 8->8,235,3.170895199900e-26,4.998743143474e-25,#3aa3fc,5,no
25,18,8,9,J 8->9,283,4.428186434200e-26,5.997992836118e-25,#37a8fa,5,no
26,22,9,8,J 9->8,265,2.603474759700e-26,3.287639426223e-25,#31aff5,5,no
27,30,9,9,J 9->9,313,1.420030223600e-26,4.121827458350e-25,#2eb4f2,5,no
28,25,9,10,J 9->10,352,2.252970569900e-26,4.957878902970e-25,#28bceb,5,no
29,28,10,9,J 10->9,347,1.593199605500e-26,2.226272610830e-25,#25c0e7,5,no
30,27,10,10,J 10->10,388,1.606048338600e-26,3.052020644376e-25,#22c5e2,5,no
31,23,10,11,J 10->11,452,2.513388760000e-26,3.587872552897e-25,#1ecbda,5,no
32,33,11,10,J 11->10,427,1.164929054800e-26,1.722276774485e-25,#1bd0d5,5,no
33,34,11,11,J 11->11,496,7.207980295300e-27,2.005725942444e-25,#1ad4d0,5,no
34,32,11,12,J 11->12,566,1.249615640900e-26,2.426589044788e-25,#18d9c8,5,no
35,36,12,11,J 12->11,536,6.129139827500e-27,1.026187477551e-25,#18ddc2,5,no
36,35,12,12,J 12->12,616,6.176855621300e-27,1.358458102919e-25,#18e0bd,5,no
37,37,12,13,J 12->13,580,5.230540287900e-27,1.344776600583e-25,#1ae4b6,5,no
38,38,13,12,J 13->12,664,4.018557039700e-27,6.299937128539e-26,#1de7b2,5,no
39,41,13,13,J 13->13,623,2.366096326900e-27,7.678313163695e-26,#22ebaa,5,no
40,39,13,14,J 13->14,821,3.901221425000e-27,9.274733651956e-26,#27eea4,5,no
41,42,14,13,J 14->13,672,1.963045604500e-27,3.494161282261e-26,#2cf09e,5,no
42,43,14,14,J 14->14,880,1.875329732800e-27,4.417611535086e-26,#35f394,5,no
43,40,14,15,J 14->15,863,2.653079153400e-27,5.136983348500e-26,#3cf58e,5,no
44,45,15,14,J 15->14,941,1.096529231600e-27,1.904341280627e-26,#43f787,5,no
45,47,15,15,J 15->15,920,7.220498247100e-28,2.410712231080e-26,#4ef97d,5,no
46,44,15,16,J 15->16,1004,1.295325651400e-27,3.084887856558e-26,#55fa76,5,no
47,48,16,15,J 16->15,984,4.681958275100e-28,9.038200268485e-27,#61fc6c,5,no
48,49,16,16,J 16->16,1068,4.441281091600e-28,1.322238741816e-26,#69fd66,5,no
49,46,16,17,J 16->17,1188,7.973484942100e-28,1.704804711053e-26,#71fe5f,5,no
50,51,17,16,J 17->16,1134,2.394591922000e-28,4.887631814771e-27,#7dff56,5,no
51,52,17,17,J 17->17,1254,1.532696959600e-28,6.639337626383e-27,#84ff51,5,no
52,50,17,18,J 17->18,1274,3.252988207400e-28,8.144283159607e-27,#8bff4b,5,no
53,56,18,17,J 18->17,1329,5.936801831500e-29,2.242892008521e-27,#96fe44,5,no
54,54,18,18,J 18->18,1345,8.460198332000e-29,3.012401590921e-27,#9cfe40,5,no
55,53,18,19,J 18->19,1499,1.360933818700e-28,3.703646177156e-27,#a4fc3c,5,no
56,57,19,18,J 19->18,1418,4.193639730000e-29,9.510659474538e-28,#a9fb39,5,no
57,59,19,19,J 19->19,1578,2.427709202800e-29,1.295432261060e-27,#affa37,5,no
58,55,19,20,J 19->20,1778,7.021453381900e-29,1.680544665386e-27,#b7f735,5,no
59,60,20,19,J 20->19,1662,1.316045666000e-29,3.900289142726e-28,#bcf534,5,no
60,61,20,20,J 20->20,1861,1.276217417400e-29,5.329253056615e-28,#c1f334,5,no
61,58,20,21,J 20->21,2030,2.586473827800e-29,6.662235132715e-28,#c8ef34,5,no
62,63,21,20,J 21->20,1958,5.893447583100e-30,1.492107117510e-28,#cdec34,5,no
63,64,21,21,J 21->21,2126,4.136297360100e-30,2.042485998937e-28,#d2e935,5,no
64,62,21,22,J 21->22,2355,9.825858721100e-30,2.640742762028e-28,#d9e436,5,no
65,66,22,21,J 22->21,2280,1.645385655100e-30,5.231324091780e-29,#dde037,5,no
66,68,22,22,J 22->22,2513,1.112259631400e-30,7.458150227552e-29,#e3db38,5,no
67,65,22,23,J 22->23,2683,3.698810983700e-30,9.828710500329e-29,#e7d739,5,no
68,70,23,22,J 23->22,2692,4.772270032400e-31,1.962172124970e-29,#ebd339,5,no
69,69,23,23,J 23->23,2853,4.826231064100e-31,2.630912641743e-29,#efcd3a,5,no
70,67,23,24,J 23->24,3274,1.152896857700e-30,3.537139408259e-29,#f2c93a,5,no
71,72,24,23,J 24->23,3033,1.829817457700e-31,6.263487372809e-30,#f5c53a,5,no
72,73,24,24,J 24->24,3475,1.513792367100e-31,9.351729604685e-30,#f8be39,5,no
73,71,24,25,J 24->25,3735,3.162923519000e-31,1.181828541180e-29,#faba39,5,no
74,75,25,24,J 25->24,3945,4.396668261800e-32,2.125201341328e-30,#fcb336,5,no
75,76,25,25,J 25->25,4240,3.169029152800e-32,3.178493970464e-30,#fdae35,5,no
76,74,25,26,J 25->26,4509,1.157087435600e-31,4.062059620057e-30,#fea933,5,no
77,78,26,25,J 26->25,4578,1.609211705900e-32,6.493186264233e-31,#fea130,5,no
78,79,26,26,J 26->26,4860,1.055047976700e-32,9.629848970294e-31,#fe9b2d,5,no
79,77,26,27,J 26->27,5678,2.370468899700e-32,1.244884058962e-30,#fe962b,5,no
80,81,27,26,J 27->26,5068,4.201565085000e-33,1.838776029689e-31,#fd8d27,5,no
81,82,27,27,J 27->27,5910,2.411737537300e-33,2.913653151626e-31,#fc8725,5,no
82,80,27,28,J 27->28,6690,4.738476235600e-33,3.706690877188e-31,#fb7e21,5,no
83,84,28,27,J 28->27,6448,1.220664393400e-33,5.123903907824e-32,#f9781e,5,no
84,85,28,28,J 28->28,7292,8.490869895800e-34,8.082045961478e-32,#f8721c,5,no
85,83,28,29,J 28->29,8232,1.787622060600e-33,1.055155505624e-31,#f56918,5,no
86,87,29,28,J 29->28,7563,2.295754294400e-34,1.338146726566e-32,#f36315,5,no
87,88,29,29,J 29->29,8540,1.760141522100e-34,2.171147451486e-32,#f15d13,5,no
88,86,29,30,J 29->30,8939,6.549023909600e-34,2.733627915668e-32,#ed5510,5,no
89,91,30,29,J 30->29,9070,4.076019907900e-35,3.200260010137e-33,#eb500e,5,no
90,90,30,30,J 30->30,9504,5.699125155000e-35,5.430085195687e-33,#e84b0c,5,no
91,89,30,31,J 30->31,9935,1.225638006300e-34,6.988878471560e-33,#e4450a,5,no
92,93,31,30,J 31->30,9701,1.265722472800e-35,7.332199718123e-34,#e14109,5,no
93,94,31,31,J 31->31,10136,1.035820676300e-35,1.285812215207e-33,#dc3b07,5,no
94,92,31,32,J 31->32,10598,3.702314240400e-35,1.512123042760e-33,#d83706,5,no
95,97,32,31,J 32->31,10709,1.714400214100e-36,1.550172565611e-34,#d43305,5,no
96,96,32,32,J 32->32,11217,2.072542495900e-36,2.551716437438e-34,#ce2d04,5,no
97,95,32,33,J 32->33,12650,4.931423043700e-36,3.456933931521e-34,#ca2a04,5,no
98,99,33,32,J 33->32,11932,6.060393060800e-37,3.427377621518e-35,#c52603,5,no
99,100,33,33,J 33->33,13520,5.517318745600e-37,6.773048743216e-35,#be2102,5,no
100,98,33,34,J 33->34,14005,1.468853772400e-36,8.388402933048e-35,#b91e02,5,no
