trace_index,strength_rank,lower_j,upper_j,jpair_label,point_count,peak_intensity,total_intensity,color_hex,source_file_count,labeled_on_figure
67,65,22,23,J 22->23,55116,6.451548971300e-37,1.504450630706e-34,#eb500e,5,no
68,69,23,22,J 23->22,54830,1.707288032900e-37,2.489070312386e-35,#e7490c,5,no
69,70,23,23,J 23->23,58646,1.630621451200e-37,4.012432716309e-35,#e2430a,5,no
70,68,23,24,J 23->24,62510,2.999529499800e-37,5.131802683760e-35,#dc3b07,5,no
71,73,24,23,J 24->23,67482,5.971002092000e-38,9.146004588020e-36,#d63506,5,no
72,71,24,24,J 24->24,71794,6.265996968800e-38,1.500167227428e-35,#d02f05,5,no
73,72,24,25,J 24->25,81596,6.235562656800e-38,1.958293517597e-35,#ca2a04,5,no
74,75,25,24,J 25->24,76986,1.348338234200e-38,2.917485806613e-36,#c32503,5,no
75,76,25,25,J 25->25,87648,1.201931725400e-38,5.065521932881e-36,#bc2002,5,no
76,74,25,26,J 25->26,94321,1.448365699700e-38,6.325367090676e-36,#b21a01,5,no
77,79,26,25,J 26->25,92103,3.634452419700e-39,9.173206364865e-37,#a91601,5,no
78,78,26,26,J 26->26,99997,4.329378254200e-39,1.587235641601e-36,#a11201,5,no
79,77,26,27,J 26->27,106569,6.831238363600e-39,1.980188371544e-36,#980e01,5,no
80,80,27,26,J 27->26,113657,1.979357050500e-39,2.916887213679e-37,#8e0a01,5,no
81,82,27,27,J 27->27,124390,9.827343375600e-40,5.127361901301e-37,#850702,5,no
82,81,27,28,J 27->28,130313,1.268896015500e-39,6.341541452534e-37,#7a0403,5,no
